Broaders Of THIST Concept;THIST Concept's PrefLabel;THIST Concept  URI;EUROVOC Concept URI;EUROVOC Concept's PrefLabel;Broaders Of  EUROVOC Concept;"E =ExactMAtch ; C= CloseMatch ; B= broaderMatch ; N= NarrowMAtch   NA= in corrispondenza di una della righe dei mapping che secondo voi non sono da accettare;  (definizioni  relazioni di mapping sono rintracciabili su http://www.w3.org/TR/skos-reference/#mapping)"
Africa| East Africa;Kenya;http://linkeddata.ge.imati.cnr.it/resource/ThIST/kenya;http://eurovoc.europa.eu/1557;Kenya;EAC countries| EAC countries;E
Africa| East Africa;Kenya;http://linkeddata.ge.imati.cnr.it/resource/ThIST/kenya;http://eurovoc.europa.eu/1557;Kenya;East Africa| East Africa;E
Africa| East Africa;Malawi;http://linkeddata.ge.imati.cnr.it/resource/ThIST/malawi;http://eurovoc.europa.eu/1766;Malawi;ACP countries| ACP countries;E
Africa| East Africa;Malawi;http://linkeddata.ge.imati.cnr.it/resource/ThIST/malawi;http://eurovoc.europa.eu/1766;Malawi;East Africa| East Africa;E
Africa| East Africa;Mozambique;http://linkeddata.ge.imati.cnr.it/resource/ThIST/mocambique;http://eurovoc.europa.eu/2018;Mozambique;ACP countries| ACP countries;E
Africa| East Africa;Mozambique;http://linkeddata.ge.imati.cnr.it/resource/ThIST/mocambique;http://eurovoc.europa.eu/2018;Mozambique;East Africa| East Africa;E
Africa| East Africa;Seychelles;http://linkeddata.ge.imati.cnr.it/resource/ThIST/seychelles;http://eurovoc.europa.eu/4148;Seychelles;ACP countries| ACP countries;E
Africa| East Africa;Seychelles;http://linkeddata.ge.imati.cnr.it/resource/ThIST/seychelles;http://eurovoc.europa.eu/4148;Seychelles;East Africa| East Africa;E
Africa| East Africa;Somalia;http://linkeddata.ge.imati.cnr.it/resource/ThIST/soomaaliya;http://eurovoc.europa.eu/4212;Somalia;ACP countries| ACP countries;E
Africa| East Africa;Somalia;http://linkeddata.ge.imati.cnr.it/resource/ThIST/soomaaliya;http://eurovoc.europa.eu/4212;Somalia;Arab League countries| Arab League countries;E
Africa| East Africa;Somalia;http://linkeddata.ge.imati.cnr.it/resource/ThIST/soomaaliya;http://eurovoc.europa.eu/4212;Somalia;CAEU countries| CAEU countries;E
Africa| East Africa;Somalia;http://linkeddata.ge.imati.cnr.it/resource/ThIST/soomaaliya;http://eurovoc.europa.eu/4212;Somalia;Horn of Africa| Horn of Africa;E
Africa| East Africa;Zambia;http://linkeddata.ge.imati.cnr.it/resource/ThIST/zambia;http://eurovoc.europa.eu/4780;Zambia;ACP countries| ACP countries;E
