sBT,sNT,sRT,s,sPrefLabel,sAltLabels
,,fresh-water environment| paleoecology| potability| hydrochemistry| sedimentation| chemical dispersion| salt water| water resources| drinking water| water| water quality| ecology| ground water,http://linkeddata.ge.imati.cnr.it/resource/ThIST/acquadolce,fresh water,
,,brines| thermal waters| mineral spring| medicinal waters| springs| sulfur spring| water| ground water,http://linkeddata.ge.imati.cnr.it/resource/ThIST/acquaminerale,mineral waters,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/acquapiovana,,
,,desalinization| surface water| potability| impurities| water consumption| purification| water resources| decontamination| protected well zones| water| aqueduct| water quality| bottling| fresh water| water supply| ground water,http://linkeddata.ge.imati.cnr.it/resource/ThIST/acquapotabile,drinking water,
,,salt-water intrusion| precipitation| brines| hydrochemistry| brackish water| chemical dispersion| salt lakes| water| fresh water| ground water| sea water,http://linkeddata.ge.imati.cnr.it/resource/ThIST/acquasalata,salt water,
,,brackish-water environment| salinity| hydrochemistry| paleosalinity| salt water| salt lakes| water| saline composition| ecology| sea water,http://linkeddata.ge.imati.cnr.it/resource/ThIST/acquasalmastra,brackish water,
water,aquicludes,percolation| confined aquifers| laminar flow| mineral waters| hydrogeology| hygroscopic water| hot springs| leaking underground storage tanks| hydrothermal waters| desalinization| karst spring| radioactive tracers| drawdown| development| hydrostatic pressure| groundwater level| salt-water intrusion| artesian wells| aquitards| dye tracers| water treatment| geysers| geothermal energy| fluorimetry| pore water| surface water| infiltration galleries| waste disposal| potability| hydrology| water hardness| thalwegs| groundwater budget| ground-water dams| hydrochemistry| polluted water| pumping| applied geology| thermal waters| mineral spring| impurities| boundary conditions| geochemistry| anchimetamorphism| background level| artesian waters| alluvium aquifers| purification| Kalman filters| permeability| isopiestic map| juvenile water| potentiometric surface| fossil waters| well screens| resurgence| isopiestic lines| natural recharge| liquid waste| phreatic water| perched aquifers| environmental geology| transmissivity| springs| chemical dispersion| storage| unsaturated zone| heat storage| discharge| storage coefficient| electro-osmosis| systems analogs| pollution| aquifers| geothermal fields| leaky aquifers| artificial recharge| salt water| aquifer drawdown| prospecting| spring| movement| water regimes| well development| intermittent springs| divides| water resources| geothermal systems| decontamination| water management| underground channels| submarine springs| hydrodynamics| pump tests| seepage| piezometry| water recovery| near-field| hydraulics| hydrologic cycle| coloring agents| geochemical barriers| multilayer hydrologic systems| Darcy's law| isotopes| drainage| far-field| drinking water| multiple aquifers| field capacity| geophysical surveys| observation wells| saline composition| porosity| zone of aeration| water quality| water table| recharge| infiltration| hydrosphere| saturated zone| capillary water| hydrothermal alteration| shallow depth| lysimeters| age| representative basins| fresh water| shallow aquifers| underground streams| tracers| basin management| connate waters| ground-water provinces| catchment hydrodynamics| unconfined aquifers| meteoric water| aquifuges| capillary percolation| water wells,http://linkeddata.ge.imati.cnr.it/resource/ThIST/acquasotterranea,ground water,
,,runoff| hydrogeology| radioactive tracers| surface water balance| hydrometry| dye tracers| water treatment| ponds| hydrometers| fluorimetry| potability| hydrology| water hardness| irrigation| hydrochemistry| polluted water| intermittent stream| streams| environmental geology| discharge| pollution| divides| water resources| decontamination| water management| Rijeka Croatia| rivers| swamps| hydrologic cycle| low water| turbidity| lakes| streamflow| drinking water| water| torrents| hydrosphere| floods| tracers| runoff coefficient| basin management| water supply| ground water| river discharge,http://linkeddata.ge.imati.cnr.it/resource/ThIST/acquasuperficiale,surface water,
,,mineral waters| hydrogeology| hot springs| hydrothermal waters| geysers| heat sources| geothermal energy| brines| volcanic fields| hydrochemistry| mineral spring| medicinal waters| heat flow| permeability| migration of elements| temperature| springs| heat storage| hot brines| geothermal fields| sulfur spring| hydrothermal fluids| water resources| geothermal systems| phreatomagmatism| mofette| trace elements| fractures| wall-rock alteration| water| geothermal gradient| volcanic origin| hydrothermal alteration| fumaroles| ground water,http://linkeddata.ge.imati.cnr.it/resource/ThIST/acquatermale,thermal waters,
,,hot springs| thermal waters| medicinal waters| water| hydrothermal alteration| ground water,http://linkeddata.ge.imati.cnr.it/resource/ThIST/acquatermominerale,hydrothermal waters,
,,irrigation| water consumption| springs| wells| pipelines| water management| streamflow| drinking water| water| water supply,http://linkeddata.ge.imati.cnr.it/resource/ThIST/acquedotto,aqueduct,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/acqueinternazionali,,
,,water treatment| polluted water| environmental geology| pollution| decontamination| water| sewage,http://linkeddata.ge.imati.cnr.it/resource/ThIST/acquereflue,waste water,
,confined aquifers| alluvium aquifers| aquicludes| perched aquifers| surficial aquifers| shallow aquifers| unconfined aquifers,hydrogeology| groundwater level| artesian wells| aquitards| multiphase flow| water balance| artesian waters| phreatic water| transmissivity| heat storage| storage coefficient| leaky aquifers| spring| water resources| piezometry| static level| Darcy's law| water yield| multiple aquifers| recharge| shallow depth| dynamic level| water supply| ground water| aquifuges,http://linkeddata.ge.imati.cnr.it/resource/ThIST/acquifero,aquifers,
,aquicludes,aquitards| aquifers| seepage| multiple aquifers| ground water| aquifuges,http://linkeddata.ge.imati.cnr.it/resource/ThIST/acquiferodisperdente,leaky aquifers,
,,multiphase flow| aquifers| leaky aquifers| multilayer hydrologic systems| ground water| layered materials,http://linkeddata.ge.imati.cnr.it/resource/ThIST/acquiferomultistrato,multiple aquifers,
aquifers,,hydrogeology| surficial geology| springs| surficial aquifers| water table| depth| unconfined aquifers| ground water,http://linkeddata.ge.imati.cnr.it/resource/ThIST/acquiferosottile,shallow aquifers,
hydrogeology| aquifers,,springs| water table| shallow aquifers| unconfined aquifers,http://linkeddata.ge.imati.cnr.it/resource/ThIST/acquiferosuperficiale,surficial aquifers,
,,economics,http://linkeddata.ge.imati.cnr.it/resource/ThIST/acquisto,purchases,
