sBT,sNT,sRT,s,sPrefLabel,sAltLabels
,,epeirogeny| continental margin| island arcs| continental drift| continental slope| epicontinental seas| cratons| islands| marginal seas| Earth| continental shelf| tectonic platforms| continental nucleus| isostasy,http://linkeddata.ge.imati.cnr.it/resource/ThIST/continente,continents,
,,processes| mudcracks| compression tectonics,http://linkeddata.ge.imati.cnr.it/resource/ThIST/contrazione,contraction,
,,processes| mudcracks| compression tectonics,http://linkeddata.ge.imati.cnr.it/resource/ThIST/contrazione,shrinkage,
,,soil erosion| geomembranes| geotextiles| soils| erosion| applied geology| conservation| controls| water erosion| wind erosion,http://linkeddata.ge.imati.cnr.it/resource/ThIST/controllodellerosione,erosion control,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/conurbazione,,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/conus,,
,,plate tectonics| plate boundaries| active margins,http://linkeddata.ge.imati.cnr.it/resource/ThIST/convergenzadiplacche,plate convergence,
,,meteorology| boundary conditions| heat flow| mantle| plate tectonics| oceanography| atmosphere| aerosols| tectonophysics| convection currents,http://linkeddata.ge.imati.cnr.it/resource/ThIST/convezione,convection,
,,International Monetary Fund| strategic minerals| Law of the Sea| policy| technical cooperation| World Bank| associations| negotiations| industrialized countries,http://linkeddata.ge.imati.cnr.it/resource/ThIST/cooperazioneinternazionale,international cooperation,
,,geodesy| coordinates| coordinate systems| geometry| very long baseline interferometry| geotraverses| trilateration,http://linkeddata.ge.imati.cnr.it/resource/ThIST/coordinategeodetiche,geodetic coordinates,
,,crystal chemistry,http://linkeddata.ge.imati.cnr.it/resource/ThIST/coordinazione,coordination,
Arthropoda| Invertebrata| Mandibulata| Crustacea,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/copepoda,Copepoda,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/copertura,,
Rhodophyta| algae| thallophytes| microfossils| Plantae,Lithothamnium| Archaeolithothamnium| Lithophyllum,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/corallinaceae,Corallinaceae,
,,Coelenterata| biogenic structures| corallite| biogenesis,http://linkeddata.ge.imati.cnr.it/resource/ThIST/corallo,coral,
Pacific Ocean,,Great Barrier Reef,http://linkeddata.ge.imati.cnr.it/resource/ThIST/coralsea,Coral Sea,
South America,Venezuelan Andes| Patagonian Andes,Venezuela| Chile| Andean Geosyncline| Perù| Ecuador| Argentina| Bolivia| Colombia| Andean Orogeny,http://linkeddata.ge.imati.cnr.it/resource/ThIST/cordilleradelosandes,Andes,
Far East| Asia,South Korea| North Korea,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/corea,Korea,
Greece,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/corfu,Corfu,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/corna,,
statistical analysis,,autocorrelation| geostatistics| mathematical geology| mathematical methods,http://linkeddata.ge.imati.cnr.it/resource/ThIST/correlazioneincrociata,crosscorrelation,
currents,,mantle| plate tectonics| convection| atmosphere| tectonophysics| density,http://linkeddata.ge.imati.cnr.it/resource/ThIST/correntediconvezione,convection currents,
,,electrical conductivity| geophysical methods| resistivity| electrical methods,http://linkeddata.ge.imati.cnr.it/resource/ThIST/correnteelettrica,electrical currents,
ocean currents| currents,,ocean circulation| tidal currents| cusps| longshore bars| littoral drift| ocean waves| littoral zone| coastlines,http://linkeddata.ge.imati.cnr.it/resource/ThIST/correntelitorale,longshore currents,
,,errors| accuracy| topographic correction,http://linkeddata.ge.imati.cnr.it/resource/ThIST/correzione,corrections,
,,geophysical methods,http://linkeddata.ge.imati.cnr.it/resource/ThIST/correzioneatmosferica,atmospheric corrections,
,,theodolite| cartography| geophysical methods| corrections| topographic maps| topography,http://linkeddata.ge.imati.cnr.it/resource/ThIST/correzionetopografica,topographic correction,
,,erosion| grain boundaries| hydrogen peroxide| chemical weathering| geomorphology| pits| destruction,http://linkeddata.ge.imati.cnr.it/resource/ThIST/corrosione,corrosion,
Europe| Europa Island| France| Western Europe,,Mediterranean region| Mediterranean Sea,http://linkeddata.ge.imati.cnr.it/resource/ThIST/corsica,Corsica,
fluvial features,braided streams| intermittent stream| ephemeral streams| torrents,runoff| hydrogeology| spillways| weir| tributaries| stream capture| sinuosity| drainage patterns| surface water| thalwegs| check dam| fluvial fill| canals| stream order| stream placers| river load| levees| discharge| channelization| stream transport| geomorphology| river banks| exsurgence| cascades| bend| Rijeka Croatia| rivers| tortuosity| channel geometry| streamflow| fluvial currents| loop| sediment yield| meanders| stream gradient| rapids| bedload| ice streams| hydrosphere| silt load| underground streams| riverbed| river discharge| fluvial environment| channels,http://linkeddata.ge.imati.cnr.it/resource/ThIST/corsodacqua,streams,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/cosmologia,,
,,beaches| nearshore environment| wave-cut platforms| abrasion coast| shore features| longshore bars| littoral drift| littoral zone| sebkha environment| fjords,http://linkeddata.ge.imati.cnr.it/resource/ThIST/costa,coast,
,,dielectric properties| electrical field| electrical methods| electrical properties,http://linkeddata.ge.imati.cnr.it/resource/ThIST/costantedielettrica,dielectric constant,
,,dimensions| minerals| lattice| bonding| lattice parameters| crystal structure,http://linkeddata.ge.imati.cnr.it/resource/ThIST/costantereticolare,cell dimensions,
Latin America| Central America,San José Costa Rica,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/costarica,Costa Rica,
,,atomic packing| sedimentation| geotechnics| textures| sedimentary rocks,http://linkeddata.ge.imati.cnr.it/resource/ThIST/costipazione,packing,
,,economics| price,http://linkeddata.ge.imati.cnr.it/resource/ThIST/costo,cost,
,,buildings| applied geology| foundations,http://linkeddata.ge.imati.cnr.it/resource/ThIST/costruzione,structures,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/costruzionestradale,,
Africa| West Africa,Yamoussoukro Ivory Coast,Volta River| Volta Basin,http://linkeddata.ge.imati.cnr.it/resource/ThIST/cotedivoire,Ivory Coast,
,,jaws| fossils| paleontology| bones| paleopathology| Vertebrata| skeletons| anatomy| teeth,http://linkeddata.ge.imati.cnr.it/resource/ThIST/cranio,skulls,
,,meteor craters| volcanology| astroblemes| cratering| impact features| maars| lunar craters| calderas| microcraters| geomorphology| crater lakes| cryptoexplosion features| impacts| Moon| volcanic cones| volcanic features| impact structures,http://linkeddata.ge.imati.cnr.it/resource/ThIST/cratere,craters,
impact features,meteor craters| astroblemes,shock breccia| troilite| geomorphology| cryptoexplosion features| stishovite,http://linkeddata.ge.imati.cnr.it/resource/ThIST/crateredimpatto,impact craters,
impact features| impact craters,,breccia| craters| astroblemes| geochronology| shatter cones| relative age| geomorphology| meteorites| tectonics| crater lakes| cryptoexplosion features| impacts| deformation| impact metamorphism| metamorphism,http://linkeddata.ge.imati.cnr.it/resource/ThIST/crateremeteoritico,meteor craters,
,,shields| continental margin| tectonic units| continents| intracratonic basins| tectonics| forelands| tectonic platforms| crust| protoquartzite| continental nucleus,http://linkeddata.ge.imati.cnr.it/resource/ThIST/cratone,cratons,
,,catastrophism| paleontology| biologic evolution| philosophy| actualism| education| life origin| geology,http://linkeddata.ge.imati.cnr.it/resource/ThIST/creazionismo,creationism,
mass movements,,elastic strain| slumping| soils| stress| mechanical properties| pipcrakes| swelling| elastic limit| permafrost| gelifluction| geomorphology| glaciers| solifluction| rock glaciers| landslides| deformation| strain| rheology| slope stability| etching,http://linkeddata.ge.imati.cnr.it/resource/ThIST/creep,creep,
,,crystal growth,http://linkeddata.ge.imati.cnr.it/resource/ThIST/crescita,growth,
Mesozoic,upper Cenomanian| Bagh Beds| Gargasian| Gulfian| Lower Maastrichtian| Cenomanian| Vraconian| Albian| Hauterivian| Neocomian| upper Maestrichtian| Coniacian| lower Turonian| Lower Cretaceous| Santonian| Wealden| Aptian| Nubian Sandstone| Maestrichtian| Barremian| Lower Cenomanian| Purbeckian| Comanchean| Berriasian| Turonian| Campanian| Middle Cretaceous| Urgonian| Upper Cretaceous| Upper Cenomanian| upper Campanian| Valanginian| Senonian| Gault,Formazione di Testico| Maiolica| Formazione dei Calcari Palombini| K-T boundary| Brianconnais Zone| Scisti e Marne a Fucoidi| Tertiary| Scisti Policromi| Calcescisti con Pietre Verdi| Scaglia Bianca| Calcare del Cellina| Scaglia Cinerea| Scaglia Toscana| Ofioliti del Monte Beigua| Scaglia| Calcari di Monte Caio| Quarziti di Monte Bignone| Scaglia Rossa| Flysch di Monte Cassio| Pietraforte| Mattinata Limestones| Caranna Limestone| Calcari a Calpionelle| Ionian Zone| Scaglia Appenninica| Laramide Orogeny| Argille a Palombini| Bari Limestone| Biancone,http://linkeddata.ge.imati.cnr.it/resource/ThIST/cretacico,Cretaceous,
Tetrapoda| Chordata| Theria| Rodentia| Mammalia| Vertebrata| Eutheria| Myomorpha,Neotoma| Pliomys| Microtus| Allophaiomys,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/cricetidae,Cricetidae,
Echinodermata| Crinozoa| Invertebrata,Delocrinus| Inadunata,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/crinoidea,Crinoidea,
,,periglacial features| cryonival phaenomena| patterned ground| rock mechanics| frost heaving| frost action| soil mechanics| congelifraction| cooling,http://linkeddata.ge.imati.cnr.it/resource/ThIST/crioturbazione,cryoturbation,
,,granitization| lithification| eutectic conditions| precipitation| ternary system| petrogenesis| quaternary system| recrystallization| crystal fractionation| reaction rims| crystal growth| intergrowths| crystals| magmatic differentiation| genesis| water of crystallization| crystal zoning| fractional crystallization| magmas| intrusions,http://linkeddata.ge.imati.cnr.it/resource/ThIST/cristallizzazione,crystallization,
,,gravitational differentiation| chemical fractionation| incompatible elements| compatible elements| petrogenesis| crystallization| crystal fractionation| reaction rims| magmatic differentiation| fractionation| thermal effects| segregation| crystal zoning| magma chambers| magmas| intrusions,http://linkeddata.ge.imati.cnr.it/resource/ThIST/cristallizzazionefrazionata,fractional crystallization,
,,point defects| habit| idiomorphism| xenocrysts| minerals| grain boundaries| structural crystallography| phenocrysts| crystallization| twinning plane| crystallography| reaction rims| crystal growth| intergrowths| crystal systems| piezoelectric properties| crystal zoning| crystal dislocations| defects| surface defects,http://linkeddata.ge.imati.cnr.it/resource/ThIST/cristallo,crystals,
,stereochemistry,phase equilibria| symmetry| coordination| crystal field| order-disorder| minerals| grain boundaries| geochemistry| isomorphism| ion exchange| crystallography| reaction rims| crystal growth| analytical method| partition coefficients| transformations| partitioning| crystal systems| piezoelectric properties| electron microscopy| bonding| exsolution| lattice parameters| substitution| mineralogy| crystal zoning| clay mineralogy| crystal structure,http://linkeddata.ge.imati.cnr.it/resource/ThIST/cristallochimica,crystal chemistry,
,,pleochroism| point defects| phase equilibria| close packing| crystal lattice| symmetry| tetragonal system| color centers| petrology| crystal chemistry| minerals| grain boundaries| atomic packing| geochemistry| monoclinic system| goniometry| reaction rims| crystal growth| intergrowths| crystals| cubic system| X-ray analysis| triclinic system| Hauy's law| crystal systems| neutron diffraction analysis| electron microscopy| reflectance| hexagonal system| lattice parameters| growth spirals| standard materials| holography| mineralogy| crystal zoning| diffractogram| defects| Miller indices| spectroscopy| surface defects| paragenesis| orthorhombic system| clay mineralogy| crystal structure| trigonal system,http://linkeddata.ge.imati.cnr.it/resource/ThIST/cristallografia,crystallography,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/crittogame,,
Tetrapoda| Diapsida| Chordata| Vertebrata| Archosauria| Reptilia,Teleosauridae,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/crocodilia,Crocodilia,
,crocoite,chromium,http://linkeddata.ge.imati.cnr.it/resource/ThIST/cromati,chromates,
analysis,,ion chromatography| chromatograms| liquid chromatography| analytical method| adsorption| gas chromatography| spectroscopy,http://linkeddata.ge.imati.cnr.it/resource/ThIST/cromatografia,chromatography,
analysis,,chromatography| chemical analysis| aqueous solutions| liquid chromatography| analytical method| gas chromatography,http://linkeddata.ge.imati.cnr.it/resource/ThIST/cromatografiaionica,ion chromatography,
,,gas chromatograms| chromatography,http://linkeddata.ge.imati.cnr.it/resource/ThIST/cromatogramma,chromatograms,
metals,Cr-51| Cr-53/Cr-52,chromite| chromates| crocoite| chromite ores,http://linkeddata.ge.imati.cnr.it/resource/ThIST/cromo,chromium,
,,geochronology| chronostratigraphic unit,http://linkeddata.ge.imati.cnr.it/resource/ThIST/cronologia,chronology,
,,K-T boundary| stratigraphy| heteropy| chronostratigraphic unit| chronostratigraphic classification,http://linkeddata.ge.imati.cnr.it/resource/ThIST/cronostratigrafia,chronostratigraphy,
crust,,Lg-waves| episutural basin| piggyback basin| plate tectonics| transition zones| underplating| Sn-waves| upper crust| lower crust| continental nucleus| continental accretion,http://linkeddata.ge.imati.cnr.it/resource/ThIST/crostacontinentale,continental crust,
crust,,sea-floor spreading| sediment supply| plate tectonics| transition zones| underplating| ophiolite complexes,http://linkeddata.ge.imati.cnr.it/resource/ThIST/crostaoceanica,oceanic crust,
crust,,granitic layer| basaltic layer| sole injection| continental crust| lithosphere| upper mantle| asthenosphere| upper crust,http://linkeddata.ge.imati.cnr.it/resource/ThIST/crostaprofonda,lower crust,
crust,,continental crust| lower crust,http://linkeddata.ge.imati.cnr.it/resource/ThIST/crostasuperiore,upper crust,
,continental crust| oceanic crust| upper crust| lower crust,neotectonics| epeirogeny| volcanology| shields| sea-floor spreading| ocean basins| clarke| heat sources| granitic layer| phase transitions| mobile belts| basaltic layer| earthquakes| geophysics| tangential discontinuities| heat flow| orogeny| vertical discontinuities| Conrad discontinuity| undation| mantle| velocity structure| thin-skinned tectonics| solid-earth geophysics| plate tectonics| transition zones| basement| paleomagnetism| crustal thinning| lithosphere| lunar crust| cratons| plates| horizontal discontinuities| seismic discontinuities| low-velocity zones| isostatic compensation| Mohorovicic discontinuity| asthenosphere| tectonics| geosynclines| seismic surveys| thickness| Earth| discontinuities| geothermal gradient| core| tectonophysics| crustal shortening| protoquartzite| magmas| seismology| isostasy,http://linkeddata.ge.imati.cnr.it/resource/ThIST/crostaterrestre,crust,
Arthropoda| Invertebrata| Mandibulata,Cavellinidae| Ophiomorpha| Bairdia| Cytherocopina| Beyrichicopina| Candona| Cytherellidae| Bairdiidae| Cirripedia| Entomozocopina| Cytheracea| Leperditicopida| Paleocopida| Ophiomorpha nodosa| Kirkbyocopina| Brachyura| Bairdiomorpha| Loxoconcha| Darwinula| Myodocopina| Trachyleberididae| Ostracoda| Malacostraca| Callianassa| Eridostraca| Leptocythere| Branchiopoda| Bairdiacea| Cytherelloidea| Cypridocopina| Podocopida| Healdiidae| Cytherella| Platycopida| Archeocopida| Kirkbyocopida| Cytheridae| Cladocopina| Cyprididae| Copepoda,Trilobita,http://linkeddata.ge.imati.cnr.it/resource/ThIST/crustacea,Crustacea,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/ctenophora,,
Caribbean region| Latin America| Greater Antilles| Central America| Antilles,Santa Clara Cuba| Santiago de Cuba| La Habana Cuba,Caribbean Sea| Sierra Maestra,http://linkeddata.ge.imati.cnr.it/resource/ThIST/cuba,Cuba,
erosion features,,slopes| geomorphology| monoclines| cliffs| scarps,http://linkeddata.ge.imati.cnr.it/resource/ThIST/cuesta,cuestas,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/cultura,,
,,terranes| plate tectonics| underplating| tectonics| active margins,http://linkeddata.ge.imati.cnr.it/resource/ThIST/cuneodaccrezione,accretionary wedges,
periglacial features,,freezing| active layer| polygonal ground| ice lenses| permafrost| taliks| ground ice| frost action| fossil ice wedges| glacial geology,http://linkeddata.ge.imati.cnr.it/resource/ThIST/cuneodighiaccio,ice wedges,
Spermatophyta| Coniferales| Plantae| Gymnospermae,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/cupressaceae,Cupressaceae,
metals| actinides,,trans-uranium elements,http://linkeddata.ge.imati.cnr.it/resource/ThIST/curio,curium,
,,education,http://linkeddata.ge.imati.cnr.it/resource/ThIST/curriculum,curricula,
statistical analysis,,skewness| histograms,http://linkeddata.ge.imati.cnr.it/resource/ThIST/curtosi,kurtosis,
,,well-logging| cores| wells| boreholes,http://linkeddata.ge.imati.cnr.it/resource/ThIST/cutting,cuttings,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/cyanophyceae,,
Spermatophyta| Plantae| Gymnospermae,Ptilophyllum,Pachypteris| Taeniopteris,http://linkeddata.ge.imati.cnr.it/resource/ThIST/cycadales,Cycadales,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/cyperaceae,,
Osteichthyes| Chordata| Teleostei| Vertebrata| Pisces| Actinopterygii,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/cyprinidae,Cyprinidae,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/daino,,
Europe| Europa Island| Southern Europe,,Serbia and Montenegro| Bosnia-Herzegovina| Zadar Croatia| Yugoslavia| Croatia,http://linkeddata.ge.imati.cnr.it/resource/ThIST/dalmacija,Dalmatia,
Tertiary| Paleocene| lower Paleocene| Cenozoic| Paleogene,,K-T boundary| Europe| Europa Island| Calcari di Spilecco| Formazione di Val Luretta,http://linkeddata.ge.imati.cnr.it/resource/ThIST/daniano,Danian,
Europe| Europa Island| Scandinavia,"Greenland| Copenaghen, Denmark",Baltic Shield| Zechstein| Jutland| Fennoscandia| North Sea| Baltic Glaciation| European Platform,http://linkeddata.ge.imati.cnr.it/resource/ThIST/danmark,Denmark,
,,applied geology| earthquakes| geologic hazards| catastrophes| effects,http://linkeddata.ge.imati.cnr.it/resource/ThIST/danno,damage,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/dannoambientale,,
Middle East| Asia,,Turkey| Sea of Marmara| Aegean Sea,http://linkeddata.ge.imati.cnr.it/resource/ThIST/dardanelli,Dardanelles,
,,geochronology| absolute age,http://linkeddata.ge.imati.cnr.it/resource/ThIST/dataassoluta,dates,
,,X-ray diffraction data| data processing| X-ray data| data acquisition| TGA data| data bases| data retrieval| neutron probe data| mineral data| DTA data| SEM data| ion probe data| electron probe data| neutron diffraction data| TEM data| new data| neutron activation analysis data| electron microscopy data,http://linkeddata.ge.imati.cnr.it/resource/ThIST/dato,data,
,,data| neutron activation analysis,http://linkeddata.ge.imati.cnr.it/resource/ThIST/datoattivazioneneutronica,neutron activation analysis data,
,,data| neutron diffraction analysis| diffractogram,http://linkeddata.ge.imati.cnr.it/resource/ThIST/datodiffrazioneneutronica,neutron diffraction data,
,,data| X-ray data| X-ray fluorescence spectra| X-ray spectra| X-ray diffraction analysis| diffractogram,http://linkeddata.ge.imati.cnr.it/resource/ThIST/datodiffrazionerx,X-ray diffraction data,
,,data| thermal analysis| differential thermal analysis| exothermal reaction| endothermic reactions,http://linkeddata.ge.imati.cnr.it/resource/ThIST/datodta,DTA data,
,,data| SEM data| electron microscopy| TEM data,http://linkeddata.ge.imati.cnr.it/resource/ThIST/datomicroscopioelettronico,electron microscopy data,
,,data| electron probe| spectroscopy,http://linkeddata.ge.imati.cnr.it/resource/ThIST/datomicrosondaelettronica,electron probe data,
,,data| ion probe| spectroscopy,http://linkeddata.ge.imati.cnr.it/resource/ThIST/datomicrosondaionica,ion probe data,
,,data| minerals| areal studies| mineralogy| clay mineralogy,http://linkeddata.ge.imati.cnr.it/resource/ThIST/datomineralogico,mineral data,
,,data| X-ray diffraction data| X-ray analysis,http://linkeddata.ge.imati.cnr.it/resource/ThIST/datorx,X-ray data,
,,data| scanning electron microscopy| electron microscopy| TEM data| electron microscopy data,http://linkeddata.ge.imati.cnr.it/resource/ThIST/datosem,SEM data,
,,data| neutron probe| spectroscopy,http://linkeddata.ge.imati.cnr.it/resource/ThIST/datosondaaneutroni,neutron probe data,
,,data| transmission electron microscopy| SEM data| electron microscopy| electron microscopy data,http://linkeddata.ge.imati.cnr.it/resource/ThIST/datotem,TEM data,
,,data| thermal analysis| thermogravimetric analysis,http://linkeddata.ge.imati.cnr.it/resource/ThIST/datotga,TGA data,
,,geochemistry| adsorption,http://linkeddata.ge.imati.cnr.it/resource/ThIST/deassorbimento,desorption,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/decantazione,,
Arthropoda| Invertebrata| Mandibulata| Crustacea,Ophiomorpha| Ophiomorpha nodosa| Brachyura| Callianassa,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/decapoda,Malacostraca,
,,magnetic observation| isogons| paleomagnetism| magnetic field,http://linkeddata.ge.imati.cnr.it/resource/ThIST/declinazionemagnetica,magnetic declination,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/decomposizione,,
,,waste water| desalinization| water treatment| surface water| potability| polluted water| impurities| purification| pollution| dilution| water resources| water management| reclamation| drinking water| water| water quality| contamination| ground water,http://linkeddata.ge.imati.cnr.it/resource/ThIST/decontaminazione,decontamination,
,,classification| identification| nomenclature| photogrammetry| terminology,http://linkeddata.ge.imati.cnr.it/resource/ThIST/definizione,definition,
,,arid environment| wind action| morphogenesis| yardangs| wind erosion| desert varnish| deserts,http://linkeddata.ge.imati.cnr.it/resource/ThIST/deflazione,deflation,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/deflussosuperficiale,,
,,forests| forestry| conservation| land use| reclamation| ecology,http://linkeddata.ge.imati.cnr.it/resource/ThIST/deforestazione,deforestation,
,elastic strain| ductile deformation| finite strain analysis| brittle deformation| fractures| strain| plastic deformation,extension tectonics| foliation| dynamic loading| wavelength| point defects| meteor craters| cataclasis| stress fields| engineering geology| salt tectonics| faults| axial-plane structures| stress| mechanical properties| competent materials| bulk modulus| cleavage| microcracks| plasticity| melange| applied geology| sintering| elasticity| boundary conditions| geodesy| strainmeters| geophysics| ductility| tectonite| shatter cones| orogeny| elastic constants| extensometers| flexure| brittle materials| mobilization| viscoelasticity| recrystallization| elastic properties| boudinage| plastic flow| solid-earth geophysics| elastic limit| plate tectonics| stressmeters| enterolithic folds| lineation| field studies| stiffness| elastic waves| tension| shear| Atterberg limits| strength| compression| compression tectonics| tensile strength| brittleness| isoclinal folds| creep| viscosity| rock mechanics| dilatancy| lamellae| failures| structural analysis| folds| decollement| tectonics| tectonic phase| Hooke's law| torsion| extension| rupture| petrofabrics| flow lines| shear stress| hysteresis| compressive strength| yield strength| soil mechanics| elastic materials| fracture strength| rheology| kink-band structures| mylonitization| pressure| tectonophysics| defects| metamorphism| distortion| seismology| triaxial tests| porphyroclasts| shock waves| metamorphic rocks| anelasticity| fabric,http://linkeddata.ge.imati.cnr.it/resource/ThIST/deformazione,deformation,
,,foundations| geotechnics| soil mechanics| Mohr circle,http://linkeddata.ge.imati.cnr.it/resource/ThIST/deformazionedelsuolo,soil deformation,
,,neotectonics| rockslides| sackung| landform evolution| gravity sliding| landslides| paleolandslide| slope stability,http://linkeddata.ge.imati.cnr.it/resource/ThIST/deformazionegravitativaprofonda,deep gravity deformation,
,,mantle| atmosphere| volatilization,http://linkeddata.ge.imati.cnr.it/resource/ThIST/degassazione,degassing,
,,Riss/Wurm Interglacial| isostatic rebound| glaciation| uplifts| glaciers| isostasy| moraine complex,http://linkeddata.ge.imati.cnr.it/resource/ThIST/deglaciazione,deglaciation,
,,soils| erosion| chemical weathering| geomorphology| denudation| weathering| biodegradation| leaching| durability,http://linkeddata.ge.imati.cnr.it/resource/ThIST/degradazione,degradation,
United States of America,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/delaware,,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/delfino,,
Asia| India,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/delhi,Delhi India,
,fan deltas,paleoecology| shore features| sedimentation| geomorphology| estuaries| deltaic sedimentation| Rijeka Croatia| rivers| ecology| progradation| deltaic environment| mouth| fluvial features,http://linkeddata.ge.imati.cnr.it/resource/ThIST/delta,deltas,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/demografia,,
,,tree rings| geochronology| relative age,http://linkeddata.ge.imati.cnr.it/resource/ThIST/dendrocronologia,dendrochronology,
statistical analysis,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/dendrogramma,dendrograms,
,,geochemistry,http://linkeddata.ge.imati.cnr.it/resource/ThIST/denitrificazione,denitrification,
,,buoyancy| specific gravity| compactness| dense nonaqueous phase liquids| bulk density| dissolved materials| convection currents| density logging| isostasy| sea water,http://linkeddata.ge.imati.cnr.it/resource/ThIST/densita,density,
,,jaws| bones| paleopathology| skulls| Vertebrata| skeletons| anatomy,http://linkeddata.ge.imati.cnr.it/resource/ThIST/dente,teeth,
,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/depauperamento,,
,,nivomoraine| periglacial features| cryonival phaenomena| snow| cryonival features,http://linkeddata.ge.imati.cnr.it/resource/ThIST/depositocrionivale,cryonival deposit,
,,wave motion| intertidal environment| tempestite| marine sediments,http://linkeddata.ge.imati.cnr.it/resource/ThIST/depositoditempesta,washover deposits,
,,eolianite| clastic sediments| wind transport| winds| wind action| eolian features| deposition| yardangs| dunes| wind erosion| deserts| loess,http://linkeddata.ge.imati.cnr.it/resource/ThIST/depositoeolico,eolian deposit,
,,limnology| lacustrine features| lacustrine environment| lacustrine sedimentation| lake sediments| varves| deposition| lakes,http://linkeddata.ge.imati.cnr.it/resource/ThIST/depositolacustre,lacustrine deposit,
,,mineral deposits| chromite ores,http://linkeddata.ge.imati.cnr.it/resource/ThIST/depositolenticolare,podiform deposits,
clastic sediments| sediments| residual soils,,terrigenous materials| debris| weathering,http://linkeddata.ge.imati.cnr.it/resource/ThIST/depositoresiduale,residuum,
,,reworking| reservoirs| sedimentary processes| alluvial plains| glaciation| sediments| surficial geology| sedimentation| sedimentary structures| sedimentary evolution| cementation| actualism| geomorphology| mineral deposits genesis| diagenesis| eolian deposit| talus slopes| lacustrine deposit| paleolandslide| stratification| accretion| depositional environment| siltation| glacial geology| alluvial fans,http://linkeddata.ge.imati.cnr.it/resource/ThIST/deposizione,deposition,
,,volcano-tectonic structure| calderas| volcanism| tectonics| volcanic features,http://linkeddata.ge.imati.cnr.it/resource/ThIST/depressionevulcanotettonica,volcano-tectonic depression,
,,ore beneficiation| water treatment| potability| hydrology| polluted water| impurities| pollution| water resources| decontamination| drinking water| water| water quality| ground water,http://linkeddata.ge.imati.cnr.it/resource/ThIST/depurazione,purification,
,,euchlorine| waste water| salinity| desalinization| surface water| potability| polluted water| impurities| remediation| purification| pollution| dilution| water resources| decontamination| water management| reclamation| bioremediation| water| water quality| ground water,http://linkeddata.ge.imati.cnr.it/resource/ThIST/depurazionedellacqua,water treatment,
,,pole positions| plate tectonics| continental drift| paleomagnetism| apparent polar wandering| paleolatitude,http://linkeddata.ge.imati.cnr.it/resource/ThIST/derivadelpolo,polar wandering,
,,bars| sediments| longshore currents| shorelines| coast| progradation,http://linkeddata.ge.imati.cnr.it/resource/ThIST/derivalitorale,littoral drift,
,,pole positions| plate tectonics| continental drift| paleomagnetism| polar wandering| paleolatitude,http://linkeddata.ge.imati.cnr.it/resource/ThIST/derivapolareapparente,apparent polar wandering,
Tetrapoda| Chordata| Theria| Mammalia| Vertebrata| Eutheria| Insectivora,,,http://linkeddata.ge.imati.cnr.it/resource/ThIST/dermoptera,Dermoptera,
,,climate| arid environment| processes| geomorphology| land preservation| deserts| ecology,http://linkeddata.ge.imati.cnr.it/resource/ThIST/desertificazione,desertification,
eolian features,continental dunes,wadis| Yermosols| sand seas| arid environment| deflation| playas| sand sheets| barchans| geomorphology| hammadas| oasis| ergs| desertification| pediments| dust storms| eolian deposit| yardangs| dunes| desert varnish| ecology,http://linkeddata.ge.imati.cnr.it/resource/ThIST/deserto,deserts,
Asia,,Mongolia,http://linkeddata.ge.imati.cnr.it/resource/ThIST/desertodelgobi,Gobi Desert,
,,Botswana| Namibia,http://linkeddata.ge.imati.cnr.it/resource/ThIST/desertodelkalahari,Kalahari desert,
