oBT,oNT,oRT,o,oPrefLabel,oAltLabels
technical regulations| technical regulations| technical regulations| technical regulations| technical regulations| technical regulations| technical regulations| technical regulations| technical regulations| technical regulations| technical regulations| technical regulations| technical regulations| technical regulations| technical regulations,,technical barrier| mutual recognition principle| European standardisation body| labelling| industrial cooperation| technical barrier| mutual recognition principle| European standardisation body| labelling| industrial cooperation| technical barrier| mutual recognition principle| European standardisation body| labelling| industrial cooperation,http://eurovoc.europa.eu/2076,standardisation,institute for standardisation| institute for standardisation| institute for standardisation| institute for standardisation| institute for standardisation| normalisation| normalisation| normalisation| normalisation| normalisation| standardization| standardization| standardization| standardization| standardization
Nordic Council countries| OECD countries| Northern Europe| Council of Europe countries| NATO countries| EFTA countries,,,http://eurovoc.europa.eu/2084,Norway,Kingdom of Norway| Kingdom of Norway| Kingdom of Norway| Kingdom of Norway| Kingdom of Norway| Kingdom of Norway
French overseas collectivity| Melanesia| countries of the Pacific Community,,,http://eurovoc.europa.eu/2088,New Caledonia,
Oceania| APEC countries| OECD countries| Anzus countries,,,http://eurovoc.europa.eu/2089,New Zealand,
geophysical environment| geophysical environment| geophysical environment| geophysical environment,,law of the sea| marine pollution| oceanography| resources of the sea,http://eurovoc.europa.eu/2107,ocean,
ocean,,,http://eurovoc.europa.eu/2108,Antarctic Ocean,
ocean,,,http://eurovoc.europa.eu/2109,Arctic Ocean,
ocean| ocean| ocean| ocean| ocean| ocean,,,http://eurovoc.europa.eu/2110,Atlantic Ocean,Gulf Stream| Atlantic| Atlantic Region| Gulf Stream| Atlantic| Atlantic Region
ocean,,,http://eurovoc.europa.eu/2111,Indian Ocean,Indian Ocean Region
ocean| ocean,,,http://eurovoc.europa.eu/2112,Pacific Ocean,Pacific Region| Pacific
,,,http://eurovoc.europa.eu/2113,Oceania,
earth sciences| earth sciences| earth sciences,,tidal energy| wave energy| resources of the sea,http://eurovoc.europa.eu/2114,oceanography,oceanology| oceanology| oceanology
special chemicals,,,http://eurovoc.europa.eu/212,aerosol,
animal product| animal product| animal product,,egg product| poultry| animal protein,http://eurovoc.europa.eu/2121,egg,
,,trade policy| market economy| trade balance,http://eurovoc.europa.eu/2128,supply and demand,demand| demand| demand
pipeline transport,,,http://eurovoc.europa.eu/2132,oil pipeline,
oleaginous plant,,,http://eurovoc.europa.eu/2136,olive,olive residue
GCC countries| Arab League countries| Gulf States,,,http://eurovoc.europa.eu/2138,Oman,Sultanate of Oman| Sultanate of Oman| Sultanate of Oman
regions of Italy,,,http://eurovoc.europa.eu/2139,Umbria,
UN specialised agency| UN specialised agency| UN specialised agency| UN specialised agency,,industrial development| industrial development| industrial development| industrial development,http://eurovoc.europa.eu/2145,UN Industrial Development Organisation,UN Industrial Development Organization| UNIDO| United Nations Industrial Development Organisation| United Nations Industrial Development Organization
,,public consultation| populism| public relations,http://eurovoc.europa.eu/2152,public opinion,
precious metal| precious metal,,exchange parity| foreign-exchange reserves,http://eurovoc.europa.eu/2156,gold,
