oBT,oNT,oRT,o,oPrefLabel,oAltLabels
South America| South America| South America| South America| South America| South America| South America| South America| South America| South America| South America| South America| South America| South America| South America| South America| South America| South America| South America| South America| South America| South America| South America| South America| South America| South America,Minas Gerais| Amapa| Rio Grande do Norte| Rio Grande do Sul| Pernambuco| Fernando de Noronha| Sao Paulo| Brazil (Federal District)| Santa Catarina| Para| Amazonas (Brazil)| Alagoas| Espirito Santo| Mato Grosso do Sul| Maranhao| Acre (Brazil)| Parana| Mato Grosso| Sergipe| Rio de Janeiro| Ceara| Bahia| Roraima| Goias| Paraiba| Piaui,,http://aims.fao.org/aos/agrovoc/c_1070,Brazil,Federative Republic of Brazil| Federative Republic of Brazil| Federative Republic of Brazil| Federative Republic of Brazil| Federative Republic of Brazil| Federative Republic of Brazil| Federative Republic of Brazil| Federative Republic of Brazil| Federative Republic of Brazil| Federative Republic of Brazil| Federative Republic of Brazil| Federative Republic of Brazil| Federative Republic of Brazil| Federative Republic of Brazil| Federative Republic of Brazil| Federative Republic of Brazil| Federative Republic of Brazil| Federative Republic of Brazil| Federative Republic of Brazil| Federative Republic of Brazil| Federative Republic of Brazil| Federative Republic of Brazil| Federative Republic of Brazil| Federative Republic of Brazil| Federative Republic of Brazil| Federative Republic of Brazil
Statistical methods,,,http://aims.fao.org/aos/agrovoc/c_10729,Factorial analysis,
Hydraulic structures,,,http://aims.fao.org/aos/agrovoc/c_1074,Breakwaters,
Limb bones,,,http://aims.fao.org/aos/agrovoc/c_10785,Femur,
Construction materials,,,http://aims.fao.org/aos/agrovoc/c_1089,Bricks,
Preservatives,,,http://aims.fao.org/aos/agrovoc/c_1091,Brines,
Luminescence,,,http://aims.fao.org/aos/agrovoc/c_10935,Fluorescence,
France,,,http://aims.fao.org/aos/agrovoc/c_1098,Brittany,
entities,,,http://aims.fao.org/aos/agrovoc/c_10989,Fossils,
Inorganic acid salts,,,http://aims.fao.org/aos/agrovoc/c_1105,Bromides,
