;s;o;KindOfLink;sBT;sNT;sRT;sPrefLabel;sAltLabels;oPrefLabel;oAltLabels;oBT;oNT;oRT;RT_similaritySInW;RT_wmdistance;RT_Mwmdistance;RT_SMwmdistance;RT_nhammingSim;RT_MnhammingSim;RT_SMnhammingSim;BT_similaritySInW;BT_wmdistance;BT_Mwmdistance;BT_SMwmdistance;BT_nhammingSim;BT_MnhammingSim;BT_SMnhammingSim;PrefLabel_similaritySInW;PrefLabel_wmdistance;PrefLabel_Mwmdistance;PrefLabel_SMwmdistance;PrefLabel_nhammingSim;PrefLabel_MnhammingSim;PrefLabel_SMnhammingSim
1566;http://linkeddata.ge.imati.cnr.it/resource/ThIST/risorseeconomiche;http://aims.fao.org/aos/agrovoc/c_2476;E;;;;;;Economic resources;;resources;Property;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1567;http://linkeddata.ge.imati.cnr.it/resource/ThIST/risorseenergetiche;http://aims.fao.org/aos/agrovoc/c_28006;E;;;;;;Energy resources;;Natural resources;fuels;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1568;http://linkeddata.ge.imati.cnr.it/resource/ThIST/risorseidriche;http://aims.fao.org/aos/agrovoc/c_8325;E;;;hydrogeology| desalinization| drought| groundwater level| reservoirs| water treatment| ponds| surface water| potability| hydrology| water hardness| economic geology| pumping| thermal waters| medicinal waters| water consumption| artesian waters| purification| well screens| resources| phreatic water| environmental geology| springs| hydrogeological survey| aquifers| decontamination| water management| water reserve| energy sources| protected well zones| lakes| water yield| drinking water| water storage| hydroelectric energy| water quality| bottling| representative basins| fresh water| basin management| ground-water provinces| water supply| ground water| water harnessing| water wells| utilization;water resources;;Water resources;Groundwater inventories;Nonrenewable resources;aquifers| Surface water;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.2317277199835712;0.2366603459539309;1.5402398138675015;3.0804796277350026;0.9333333333333332;1.0;2.0
1569;http://linkeddata.ge.imati.cnr.it/resource/ThIST/risorsenaturali;http://aims.fao.org/aos/agrovoc/c_5091;E;;;resources| environmental geology| conservation| depletion| wilderness areas| land use| reclamation| land cover maps| land management| utilization;natural resources;;Natural resources;;resources;Biological resources| Marine resources| Fishery resources| Feed resources| Forest resources| Soil resources| Renewable resources| Food resources| Nonrenewable resources| Agricultural resources| Energy resources;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.3403499006727517;0.17526172577685858;1.9405577699944283;3.881115539988856;0.9411764705882352;1.0;2.0
1570;http://linkeddata.ge.imati.cnr.it/resource/ThIST/roccia;http://aims.fao.org/aos/agrovoc/c_6628;E;;;soft rocks| metasomatic rocks| standard rocks| metaigneous rocks| volcanic rocks| metasedimentary rocks| weak rocks| host rocks| chemically precipitated rocks| country rocks| source rocks| carbonate rocks| bedrock| aggregate| crystalline rocks| extrusive rocks| reservoir rocks| silicate rocks| metavolcanic rocks| inclusions| tight sands| sedimentary rocks| fluid inclusions| cap rock| plutonic rocks| hypabyssal rocks| paragenesis| metaplutonic rocks| metamorphic rocks;rocks;;rock;;substances;Clay| Granite| Volcanic materials| Basalt| Sand| Limestone| Tuff;stones;19.124203179240734;1.713697944870417;3.3084859075286968;106.08264119483525;0.002123142250530785;0.375;1.655988455988456;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-0.4011203583377918;0.601889168301344;0.601889168301344;0.601889168301344;0.8;0.8;0.8
1571;http://linkeddata.ge.imati.cnr.it/resource/ThIST/rosaceae;http://aims.fao.org/aos/agrovoc/c_6656;E;;;;;;Rosaceae;;Rosales;Rosa| Sorbus| Chaenomeles| Crataegus| Prunus| Spiraea| Cotoneaster| Exochorda| Purshia| Rubus| Sanguisorba| Agrimonia| Eriobotrya| Malus| Mespilus| Aronia| Potentilla| Amelanchier| Pyrus| Physocarpus| Cydonia| Pyracantha| Fragaria;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1572;http://linkeddata.ge.imati.cnr.it/resource/ThIST/rugiada;http://aims.fao.org/aos/agrovoc/c_2231;E;;;condensation| humidity| brines| moisture;dew;;Dew;;Meteorological factors;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-2.220446049250313e-16;1.1284228060462422;0.0;0.0;0.6666666666666667;1.0;1.0
1573;http://linkeddata.ge.imati.cnr.it/resource/ThIST/rumore;http://aims.fao.org/aos/agrovoc/c_5205;E;;;;;;Noise;;pollutants;;Sound;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1574;http://linkeddata.ge.imati.cnr.it/resource/ThIST/rumoredifondo;http://aims.fao.org/aos/agrovoc/c_5205;E;;;signal-to-noise ratio| geophysical methods| microseisms| filters| signals| seismology;noise;;Noise;;pollutants;;Sound;-0.08949997637771684;2.264088292002382;2.166241547822425;14.4732541895921;0.0117647058823529;0.2857142857142857;0.519047619047619;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.4907297208116054;0.0;0.0;0.8;1.0;1.0
1575;http://linkeddata.ge.imati.cnr.it/resource/ThIST/ruscellamento;http://aims.fao.org/aos/agrovoc/c_35388;E;;;retention| earth pillars| precipitation| surface water| hydrology| rain wash| water balance| streams| discharge| divides| Rijeka Croatia| rivers| hydrologic cycle| storms| streamflow| sediment yield| water yield| meteoric water;runoff;;Runoff;;Soil water balance;Subsurface runoff;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.1102230246251563e-16;0.440214312779646;0.0;0.0;0.8333333333333334;1.0;1.0
