;Unnamed: 0;s;o;KindOfLinkRevised;KindOfLink;oBT;oRT;oPrefLabel;oAltLabels;sBT;sNT;sRT;sPrefLabel;sAltLabels;BT_similaritySInW;BT_wmdistance;BT_Mwmdistance;BT_SMwmdistance;BT_nhammingSim;BT_MnhammingSim;BT_SMnhammingSim;PrefLabel_similaritySInW;PrefLabel_wmdistance;PrefLabel_Mwmdistance;PrefLabel_SMwmdistance;PrefLabel_nhammingSim;PrefLabel_MnhammingSim;PrefLabel_SMnhammingSim;RT_similaritySInW;RT_wmdistance;RT_Mwmdistance;RT_SMwmdistance;RT_nhammingSim;RT_MnhammingSim;RT_SMnhammingSim
27;27;http://linkeddata.ge.imati.cnr.it/resource/ThIST/zambia;http://aims.fao.org/aos/agrovoc/c_8501;E;E;Southern Africa;COMPACI;Zambia;Republic of Zambia;Africa| East Africa;Lusaka Zambia;Zambezi River Basin| Congo River| Zambezi river| Congo River Basin;Zambia;;23.539.259.386.691.100;12.296.864.920.623.900;2.982.430.656.698.960;7.642.361.647.981.130;0.0;1.0;2.125;-2,22E-01;0.0;0.0;0.0;1.0;1.0;1.0;-1.0;29.116.166.597.333.500;2.666.962.045.528.820;22.718.060.612.772.700;0.0;0.2857142857142857;11.428.571.428.571.400
28;28;http://linkeddata.ge.imati.cnr.it/resource/ThIST/djibouti;http://aims.fao.org/aos/agrovoc/c_2346;E;E;East Africa;;Djibouti;Republic of Djibouti| Afars and Issas Territory| French Somaliland| Issas (and Afars Territory)| French Territory of Afars and Issas;Africa| East Africa| Djibouti Djibouti| Djibouti;Djibouti Djibouti| Djibouti;Red Sea| Afar| Red Sea Basin;Djibouti;;32.613.080.780.277.500;13.213.744.846.710.300;2.982.430.656.698.960;16.888.900.370.561.800;0.0;1.0;3.0;-1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
29;29;http://linkeddata.ge.imati.cnr.it/resource/ThIST/djibouti;http://aims.fao.org/aos/agrovoc/c_2346;E;E;East Africa;;Djibouti;Republic of Djibouti| Afars and Issas Territory| French Somaliland| Issas (and Afars Territory)| French Territory of Afars and Issas;Africa| East Africa| Djibouti Djibouti| Djibouti;Djibouti Djibouti| Djibouti;Red Sea| Afar| Red Sea Basin;Djibouti Djibouti;;32.613.080.780.277.500;13.213.744.846.710.300;2.982.430.656.698.960;16.888.900.370.561.800;0.0;1.0;3.0;-1.0;0.0;0.0;0.0;0.47058823529411764;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
30;30;http://linkeddata.ge.imati.cnr.it/resource/ThIST/lagovittoria;http://aims.fao.org/aos/agrovoc/c_29726;E;E;Lakes| African inland waters;;Lake Victoria;;Africa| East Africa| East African Lakes;;Tanzania| Nile River| Uganda| Kenya;Lake Victoria;;13.168.061.049.816.200;0.9745865218572194;3.121.160.160.290.120;1.822.273.973.621.050;0.05128205128205132;1.0;4.114.285.714.285.710;21.790.877.403.863.800;0.0;34.755.866.092.945.100;69.511.732.185.890.200;1.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
31;31;http://linkeddata.ge.imati.cnr.it/resource/ThIST/mayotte;http://aims.fao.org/aos/agrovoc/c_4665;E;E;East Africa;;Mayotte;Comorian Island of Mayotte;Africa| East Africa| France;Dzaoudzi Mayotte;Indian Ocean| Comoros| Mozambique Channel;Mayotte;;38.699.589.598.639.500;0.7255431482728142;2.982.430.656.698.960;11.236.934.636.902.400;0.0;1.0;31.666.666.666.666.600;-1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
32;32;http://linkeddata.ge.imati.cnr.it/resource/ThIST/lagotanganica;http://aims.fao.org/aos/agrovoc/c_29724;E;E;Lakes| African inland waters;;Lake Tanganyika;;Africa| East African Lakes;;Tanzania| Burundi| East Africa;Lake Tanganyika;;9.580.898.589.599.150;0.8144024882489026;3.121.160.160.290.120;12.151.390.407.452.800;0.0714285714285714;1.0;3.057.142.857.142.850;2,22E-01;0.0;264.276.307.039.973;528.552.614.079.946;1.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
33;33;http://linkeddata.ge.imati.cnr.it/resource/ThIST/almaghrib;http://aims.fao.org/aos/agrovoc/c_4940;E;E;North Africa;;Morocco;Kingdom of Morocco;Africa| North Africa;Rabat Morocco| Casablanca Morocco;Mediterranean region| Maghreb| Atlas Mountains| Sahara| Western Sahara;Morocco;;31.883.914.624.481.700;0.36832913663172734;2.071.601.762.776.670;62.148.052.883.300.100;0.050000000000000044;1.0;3.0;-2,22E-01;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
34;34;http://linkeddata.ge.imati.cnr.it/resource/ThIST/libiya;http://aims.fao.org/aos/agrovoc/c_4312;E;E;North Africa;;Libya;Libyan Arab Jamahiriya| Socialist People's Libyan Arab Jama| Libyan Arab Republic;Africa| North Africa;Tripoli Libya| Fezzan| Kufra Basin| Cirenaica| Tripolitania| Sirte Basin| Tibesti Libya;Libyan Desert| Mediterranean region| Maghreb| Tibesti Massif| Sahara;Libya;;31.883.914.624.481.700;0.36832913663172734;2.071.601.762.776.670;62.148.052.883.300.100;0.050000000000000044;1.0;3.0;-2,22E-01;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
35;35;http://linkeddata.ge.imati.cnr.it/resource/ThIST/saharaoccidentale;http://aims.fao.org/aos/agrovoc/c_8366;E;E;West Africa;;Western Sahara;Rio de Oro| Spanish West Africa| Spanish Sahara;Africa| North Africa| Sahara;Atlantic Ocean;Morocco;Western Sahara;;375.924.778.788.719;10.404.292.025.239.300;289.396.331.075.716;10.049.276.893.375.600;0.0;1.0;23.666.666.666.666.600;2.217.067.586.214.390;0.0;1.998.717.182.270.080;399.743.436.454.017;1.0;1.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
36;36;http://linkeddata.ge.imati.cnr.it/resource/ThIST/tunis;http://aims.fao.org/aos/agrovoc/c_8007;E;E;North Africa;;Tunisia;Republic of Tunisia;Africa| North Africa| Tunis Tunisia| Tunisia;Tunis Tunisia| Tunisia;Mediterranean region| Maghreb| Atlas Mountains| Sahara;Tunis Tunisia;;31.883.914.624.481.700;12.828.286.941.544.300;2.154.203.652.761.430;1.244.450.151.983.670;0.022727272727272707;1.0;3.452.380.952.380.950;-1.0;0.1657355305136655;0.3527811689120182;0.3527811689120182;0.3846153846153846;1.0;17.142.857.142.857.100;0.0;0.0;0.0;0.0;0.0;0.0;0.0
37;37;http://linkeddata.ge.imati.cnr.it/resource/ThIST/tunis;http://aims.fao.org/aos/agrovoc/c_8007;E;E;North Africa;;Tunisia;Republic of Tunisia;Africa| North Africa| Tunis Tunisia| Tunisia;Tunis Tunisia| Tunisia;Mediterranean region| Maghreb| Atlas Mountains| Sahara;Tunisia;;31.883.914.624.481.700;12.828.286.941.544.300;2.154.203.652.761.430;1.244.450.151.983.670;0.022727272727272707;1.0;3.452.380.952.380.950;-1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
38;38;http://linkeddata.ge.imati.cnr.it/resource/ThIST/lesotho;http://aims.fao.org/aos/agrovoc/c_4284;E;E;Southern Africa;;Lesotho;Kingdom of Lesotho;Africa| Southern Africa;Maseru Lesotho;Orange River;Lesotho;;31.780.314.468.352.700;0.41588493122077286;23.299.654.956.410.800;6.989.896.486.923.240;0.0;1.0;3.0;-1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
39;39;http://linkeddata.ge.imati.cnr.it/resource/ThIST/namibia;http://aims.fao.org/aos/agrovoc/c_5063;E;E;Southern Africa;;Namibia;South West Africa| Republic of Namibia;Africa| Southern Africa;Windhoek Namibia;Kalahari desert;Namibia;;31.780.314.468.352.700;0.41588493122077286;23.299.654.956.410.800;6.989.896.486.923.240;0.0;1.0;3.0;-1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
40;40;http://linkeddata.ge.imati.cnr.it/resource/ThIST/swaziland;http://aims.fao.org/aos/agrovoc/c_7547;E;E;Southern Africa;;Swaziland;Kingdom of Swaziland;Africa| Southern Africa;Mbabane Swaziland;;Swaziland;;31.780.314.468.352.700;0.41588493122077286;23.299.654.956.410.800;6.989.896.486.923.240;0.0;1.0;3.0;-1.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
41;41;http://linkeddata.ge.imati.cnr.it/resource/ThIST/zimbabwe;http://aims.fao.org/aos/agrovoc/c_8516;E;E;Southern Africa;;Zimbabwe;Republic of Zimbabwe| Rhodesia| Zimbabwe Rhodesia;Africa| Southern Africa;Harare Zimbabwe;Limpopo River Basin| Zambezi River Basin| Limpopo River;Zimbabwe;;31.780.314.468.352.700;0.41588493122077286;23.299.654.956.410.800;6.989.896.486.923.240;0.0;1.0;3.0;2,22E-01;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
