Broaders Of THIST Concept;THIST Concept's PrefLabel;THIST Concept  URI;DBPEDIA Concept URI;DBPEDIA Concept's PrefLabel;Broaders Of  DBPEDIA Concept;"E =ExactMAtch ; C= CloseMatch ; B= broaderMatch ; N= NarrowMAtch   NA= in corrispondenza di una della righe dei mapping che secondo voi non sono da accettare;  (definizioni  relazioni di mapping sono rintracciabili su http://www.w3.org/TR/skos-reference/#mapping)"
Africa| Central Africa;Gabon;http://linkeddata.ge.imati.cnr.it/resource/ThIST/gabon;http://dbpedia.org/resource/Category:Gabon;Gabon;Bantu countries and territories| Bantu countries and territories;E
Africa| Central Africa;Gabon;http://linkeddata.ge.imati.cnr.it/resource/ThIST/gabon;http://dbpedia.org/resource/Category:Gabon;Gabon;Central African countries| Central African countries;E
Africa| Central Africa;Gabon;http://linkeddata.ge.imati.cnr.it/resource/ThIST/gabon;http://dbpedia.org/resource/Category:Gabon;Gabon;Countries in Africa| Countries in Africa;E
Africa| Central Africa;Gabon;http://linkeddata.ge.imati.cnr.it/resource/ThIST/gabon;http://dbpedia.org/resource/Category:Gabon;Gabon;Former French colonies| Former French colonies;E
Africa| Central Africa;Gabon;http://linkeddata.ge.imati.cnr.it/resource/ThIST/gabon;http://dbpedia.org/resource/Category:Gabon;Gabon;French-speaking countries and territories| French-speaking countries and territories;E
Africa| Central Africa;Gabon;http://linkeddata.ge.imati.cnr.it/resource/ThIST/gabon;http://dbpedia.org/resource/Category:Gabon;Gabon;Member states of La Francophonie| Member states of La Francophonie;E
Africa| Central Africa;Gabon;http://linkeddata.ge.imati.cnr.it/resource/ThIST/gabon;http://dbpedia.org/resource/Category:Gabon;Gabon;Member states of the African Union| Member states of the African Union;E
Africa| Central Africa;Gabon;http://linkeddata.ge.imati.cnr.it/resource/ThIST/gabon;http://dbpedia.org/resource/Category:Gabon;Gabon;Member states of the Organisation of Islamic Cooperation| Member states of the Organisation of Islamic Cooperation;E
Africa| Central Africa;Gabon;http://linkeddata.ge.imati.cnr.it/resource/ThIST/gabon;http://dbpedia.org/resource/Category:Gabon;Gabon;Republics| Republics;E
Africa| Central Africa;Gabon;http://linkeddata.ge.imati.cnr.it/resource/ThIST/gabon;http://dbpedia.org/resource/Category:Gabon;Gabon;States and territories established in 1960| States and territories established in 1960;E
Africa| Central Africa;Gabon;http://linkeddata.ge.imati.cnr.it/resource/ThIST/gabon;http://dbpedia.org/resource/Category:Gabon;Gabon;Wikipedia categories named after countries| Wikipedia categories named after countries;E
Africa| Central Africa;Rwanda;http://linkeddata.ge.imati.cnr.it/resource/ThIST/rwanda;http://dbpedia.org/resource/Category:Rwanda;Rwanda;Bantu countries and territories| Bantu countries and territories;E
Africa| Central Africa;Rwanda;http://linkeddata.ge.imati.cnr.it/resource/ThIST/rwanda;http://dbpedia.org/resource/Category:Rwanda;Rwanda;Central African countries| Central African countries;E
Africa| Central Africa;Rwanda;http://linkeddata.ge.imati.cnr.it/resource/ThIST/rwanda;http://dbpedia.org/resource/Category:Rwanda;Rwanda;Commonwealth republics| Commonwealth republics;E
Africa| Central Africa;Rwanda;http://linkeddata.ge.imati.cnr.it/resource/ThIST/rwanda;http://dbpedia.org/resource/Category:Rwanda;Rwanda;Countries in Africa| Countries in Africa;E
Africa| Central Africa;Rwanda;http://linkeddata.ge.imati.cnr.it/resource/ThIST/rwanda;http://dbpedia.org/resource/Category:Rwanda;Rwanda;English-speaking countries and territories| English-speaking countries and territories;E
Africa| Central Africa;Rwanda;http://linkeddata.ge.imati.cnr.it/resource/ThIST/rwanda;http://dbpedia.org/resource/Category:Rwanda;Rwanda;French-speaking countries and territories| French-speaking countries and territories;E
Africa| Central Africa;Rwanda;http://linkeddata.ge.imati.cnr.it/resource/ThIST/rwanda;http://dbpedia.org/resource/Category:Rwanda;Rwanda;Landlocked countries| Landlocked countries;E
Africa| Central Africa;Rwanda;http://linkeddata.ge.imati.cnr.it/resource/ThIST/rwanda;http://dbpedia.org/resource/Category:Rwanda;Rwanda;Least developed countries| Least developed countries;E
Africa| Central Africa;Rwanda;http://linkeddata.ge.imati.cnr.it/resource/ThIST/rwanda;http://dbpedia.org/resource/Category:Rwanda;Rwanda;Member states of La Francophonie| Member states of La Francophonie;E
Africa| Central Africa;Rwanda;http://linkeddata.ge.imati.cnr.it/resource/ThIST/rwanda;http://dbpedia.org/resource/Category:Rwanda;Rwanda;Member states of the African Union| Member states of the African Union;E
Africa| Central Africa;Rwanda;http://linkeddata.ge.imati.cnr.it/resource/ThIST/rwanda;http://dbpedia.org/resource/Category:Rwanda;Rwanda;Member states of the Commonwealth of Nations| Member states of the Commonwealth of Nations;E
Africa| Central Africa;Rwanda;http://linkeddata.ge.imati.cnr.it/resource/ThIST/rwanda;http://dbpedia.org/resource/Category:Rwanda;Rwanda;Republics| Republics;E
Africa| Central Africa;Rwanda;http://linkeddata.ge.imati.cnr.it/resource/ThIST/rwanda;http://dbpedia.org/resource/Category:Rwanda;Rwanda;Southeast Africa| Southeast Africa;E
Africa| Central Africa;Rwanda;http://linkeddata.ge.imati.cnr.it/resource/ThIST/rwanda;http://dbpedia.org/resource/Category:Rwanda;Rwanda;States and territories established in 1962| States and territories established in 1962;E
Africa| Central Africa;Rwanda;http://linkeddata.ge.imati.cnr.it/resource/ThIST/rwanda;http://dbpedia.org/resource/Category:Rwanda;Rwanda;Swahili-speaking countries and territories| Swahili-speaking countries and territories;E
Africa| Central Africa;Rwanda;http://linkeddata.ge.imati.cnr.it/resource/ThIST/rwanda;http://dbpedia.org/resource/Category:Rwanda;Rwanda;Wikipedia categories named after countries| Wikipedia categories named after countries;E
Africa| East Africa;Sudan;http://linkeddata.ge.imati.cnr.it/resource/ThIST/as-sudan;http://dbpedia.org/resource/Category:Sudan;Sudan;Arabic-speaking countries and territories| Arabic-speaking countries and territories;E
Africa| East Africa;Sudan;http://linkeddata.ge.imati.cnr.it/resource/ThIST/as-sudan;http://dbpedia.org/resource/Category:Sudan;Sudan;Countries in Africa| Countries in Africa;E
Africa| East Africa;Sudan;http://linkeddata.ge.imati.cnr.it/resource/ThIST/as-sudan;http://dbpedia.org/resource/Category:Sudan;Sudan;English-speaking countries and territories| English-speaking countries and territories;E
Africa| East Africa;Sudan;http://linkeddata.ge.imati.cnr.it/resource/ThIST/as-sudan;http://dbpedia.org/resource/Category:Sudan;Sudan;Member states of the Arab League| Member states of the Arab League;E
