;Unnamed: 0;s;o;KindOfLink;sBT;sNT;sRT;sPrefLabel;sAltLabels;oPrefLabel;oDefinition;oAltLabels;oBT;oNT;oRT;similaritySInW;wmdistance;Mwmdistance;SMwmdistance;nhammingSim;MnhammingSim;SMnhammingSim
837;837;http://linkeddata.ge.imati.cnr.it/resource/ThIST/ossigeno;http://dbpedia.org/resource/Category:Oxygen;E;;O-18/O-16| O-16| O-17/O-16| O-18;chemical elements| stable isotopes| isotopes| atmosphere| oxidation| ozone;oxygen;;Oxygen;;;Diatomic nonmetals| Chalcogens| Chemical elements| Wikipedia categories named after chemical elements;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
838;838;http://linkeddata.ge.imati.cnr.it/resource/ThIST/osteologia;http://dbpedia.org/resource/Category:Osteology;E;;;paleontology| bones;osteology;;Osteology;;;Bones| Biological anthropology;;Orthopedic surgical procedures;0.0;0.0;0.0;0.0;0.0;0.0;0.0
839;839;http://linkeddata.ge.imati.cnr.it/resource/ThIST/ottimizzazione;http://dbpedia.org/resource/Category:Optimization;E;;;ore beneficiation| production| quality controls| methods;optimization;;Optimization;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
840;840;http://linkeddata.ge.imati.cnr.it/resource/ThIST/ozono;http://dbpedia.org/resource/Category:Ozone;E;;;atmosphere| oxygen| stratosphere;ozone;;Ozone;;;Oxidizing agents| Homonuclear triatomic molecules| Oxygen;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
841;841;http://linkeddata.ge.imati.cnr.it/resource/ThIST/pakistan;http://dbpedia.org/resource/Category:Pakistan;E;;Salt Range;Hindu Kush| Himalayas| Kashmir| Indus River| Karakoram| Indus Valley| Pamirs;Pakistan;;Pakistan;;;Pashto-speaking countries and territories| South Asian countries| Countries in Asia| Federal republics| English-speaking countries and territories| Wikipedia categories named after countries;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
842;842;http://linkeddata.ge.imati.cnr.it/resource/ThIST/paleobiologia;http://dbpedia.org/resource/Category:Paleobiology;E;;;geomicrobiology| fossils| paleontology| biology| biochemistry;paleobiology;;Paleobiology;;;Branches of biology| Subfields of paleontology;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
843;843;http://linkeddata.ge.imati.cnr.it/resource/ThIST/paleoclimatologia;http://dbpedia.org/resource/Category:Paleoclimatology;E;;;climate| taiga environment| temperate environment| interglacial environment| arid environment| fossils| paleoecology| glacial periods| length of day| climatologic maps| arctic environment| subtropical environment| boreal environment| glaciation| O-18/O-16| hot guest| encrustations| paleotemperature| Boreal| cold guest| cycles| indicators| C-13/C-12| obliquity of the ecliptic| isotopes| humid environment| atmosphere| climate change| S-34/S-32| Milankovitch theory| paleoatmosphere| fluctuations| paleoclimate maps| glacial geology| paleogeography| tropical environment;paleoclimatology;;Paleoclimatology;;;Climatology| Historical geology| Climate history;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
844;844;http://linkeddata.ge.imati.cnr.it/resource/ThIST/paleogeografia;http://dbpedia.org/resource/Category:Paleogeography;E;;;isthmus| sea-level changes| ocean basins| biogeography| paleogeographic maps| stratigraphy| paleoclimatology| alluvial plains| paleoecology| buried channels| buried valleys| exhumation| sedimentation| sedimentary structures| plate tectonics| paleogeographic controls| basins| continental drift| paleocurrents| geomorphology| paleocurrent maps| geosynclines| geotectonic maps| Mesogaea| coastlines| sedimentary basins| shorelines| sebkha environment| transgression| land bridges| paleohydrology| reconstruction| basin analysis| paleoenvironment| geography;paleogeography;;Paleogeography;;;Historical geography| Physical geography| Historical geology| Subfields of paleontology| Subfields of geology;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
845;845;http://linkeddata.ge.imati.cnr.it/resource/ThIST/paleontologia;http://dbpedia.org/resource/Category:Paleontology;E;;;cladistics| osteology| faunal provinces| extinct taxa| ornamentation| geomicrobiology| bipedalism| biogeography| jaws| stratigraphy| fossils| creationism| phylogeny| bibliography| biometry| casts| palynology| paleoecology| radiation| extinction| bones| species diversity| gradualism| type localities| biologic evolution| predation| biostratigraphy| paleopathology| geochronology| wood| paleozoology| skulls| ontogeny| miscellanea| isomorphism| vicariance| biocenoses| lexicons| trophic analysis| continental drift| staining| ultrastructure| sample preparation| problematic fossils| mass extinctions| taxonomy| diet| thanatocenoses| collecting| guide fossils| electron microscopy| historical geology| Darwinism| biogeographic maps| life origin| micropaleontology| geology| fossilization| skeletons| collections| catalogs| reproduction| larvae| paleobotany| nutrition| anatomy| speciation| punctuated equilibria| paleobiology| chemical fossils| shells| glossaries| adaptation| morphometry| synonymy| lectotypes;paleontology;;Paleontology;;;Subfields of evolutionary biology| Earth sciences| Historical geology| Evolutionary biology| Subfields of geology;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
846;846;http://linkeddata.ge.imati.cnr.it/resource/ThIST/paleopatologia;http://dbpedia.org/resource/Category:Paleopathology;E;;;morphology| jaws| paleontology| bones| taphonomy| skulls| archaeology| skeletons| teeth| shells;paleopathology;;Paleopathology;;;Pathology| Biological anthropology| Subfields of paleontology| Archaeological science;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0
