s;o;KindOfLink
http://linkeddata.ge.imati.cnr.it/resource/ThIST/libiya;http://eurovoc.europa.eu/1639;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/libiya;http://eurovoc.europa.eu/1639;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/libiya;http://eurovoc.europa.eu/1639;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/libiya;http://eurovoc.europa.eu/1639;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/libiya;http://eurovoc.europa.eu/1639;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/maghreb;http://eurovoc.europa.eu/1734;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/misr;http://eurovoc.europa.eu/690;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/misr;http://eurovoc.europa.eu/690;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/misr;http://eurovoc.europa.eu/690;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/misr;http://eurovoc.europa.eu/690;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/misr;http://eurovoc.europa.eu/690;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/canaledisuez;http://eurovoc.europa.eu/5103;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/saharaoccidentale;http://eurovoc.europa.eu/3799;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/tunis;http://eurovoc.europa.eu/4578;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/tunis;http://eurovoc.europa.eu/4578;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/tunis;http://eurovoc.europa.eu/4578;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/tunis;http://eurovoc.europa.eu/4578;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/tunis;http://eurovoc.europa.eu/4578;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/tunis;http://eurovoc.europa.eu/4578;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/lesotho;http://eurovoc.europa.eu/1611;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/lesotho;http://eurovoc.europa.eu/1611;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/namibia;http://eurovoc.europa.eu/2027;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/namibia;http://eurovoc.europa.eu/2027;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/swaziland;http://eurovoc.europa.eu/4351;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/swaziland;http://eurovoc.europa.eu/4351;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/zimbabwe;http://eurovoc.europa.eu/4782;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/zimbabwe;http://eurovoc.europa.eu/4782;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/europa;http://eurovoc.europa.eu/909;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/europa;http://eurovoc.europa.eu/909;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/sainthelena;http://eurovoc.europa.eu/3830;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/sainthelena;http://eurovoc.europa.eu/3830;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/cameroon;http://eurovoc.europa.eu/5095;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/cameroon;http://eurovoc.europa.eu/5095;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/cameroon;http://eurovoc.europa.eu/5095;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/congo;http://eurovoc.europa.eu/111;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/congo;http://eurovoc.europa.eu/111;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/congo;http://eurovoc.europa.eu/111;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/gambia;http://eurovoc.europa.eu/1128;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/gambia;http://eurovoc.europa.eu/1128;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/gambia;http://eurovoc.europa.eu/1128;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/ghana;http://eurovoc.europa.eu/1166;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/ghana;http://eurovoc.europa.eu/1166;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/ghana;http://eurovoc.europa.eu/1166;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/guine-bissau;http://eurovoc.europa.eu/1217;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/guine-bissau;http://eurovoc.europa.eu/1217;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/guine-bissau;http://eurovoc.europa.eu/1217;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/guine-bissau;http://eurovoc.europa.eu/1217;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/guinee;http://eurovoc.europa.eu/1216;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/guinee;http://eurovoc.europa.eu/1216;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/guinee;http://eurovoc.europa.eu/1216;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/liberia;http://eurovoc.europa.eu/1617;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/liberia;http://eurovoc.europa.eu/1617;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/liberia;http://eurovoc.europa.eu/1617;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/mali;http://eurovoc.europa.eu/1769;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/mali;http://eurovoc.europa.eu/1769;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/mali;http://eurovoc.europa.eu/1769;E
http://linkeddata.ge.imati.cnr.it/resource/ThIST/mali;http://eurovoc.europa.eu/1769;E
