Broaders Of THIST Concept;THIST Concept's PrefLabel;THIST Concept  URI;AGROVOC Concept URI;Agrovoc Concept's PrefLabel;Broaders Of  Agrovoc Concept;"E =ExactMAtch ; C= CloseMatch ; B= broaderMatch ; N= NarrowMAtch   NA= in corrispondenza di una della righe dei mapping che secondo voi non sono da accettare;  (definizioni  relazioni di mapping sono rintracciabili su http://www.w3.org/TR/skos-reference/#mapping)";If E the 1;If C the 1;If N the 1;if Na 
acids;boric acid;http://linkeddata.ge.imati.cnr.it/resource/ThIST/acidoborico;http://aims.fao.org/aos/agrovoc/c_1016;Boric acid;Inorganic acids;E;1;0;0;0
acids| chemical analysis;citric acid;http://linkeddata.ge.imati.cnr.it/resource/ThIST/acidocitrico;http://aims.fao.org/aos/agrovoc/c_1631;Citric acid;Organic acids| Organic acids;E;1;0;0;0
acids| inorganic acids;hydrocloric acid;http://linkeddata.ge.imati.cnr.it/resource/ThIST/acidocloridrico;http://aims.fao.org/aos/agrovoc/c_3720;Hydrochloric acid;Inorganic acids| Inorganic acids;E;1;0;0;0
acids| inorganic acids;sulfuric acid;http://linkeddata.ge.imati.cnr.it/resource/ThIST/acidosolforico;http://aims.fao.org/aos/agrovoc/c_7517;Sulphuric acid;Inorganic acids| Inorganic acids;E;1;0;0;0
acids| organic materials| organic acids| amino acids;aspartic acid;http://linkeddata.ge.imati.cnr.it/resource/ThIST/acidoaspartico;http://aims.fao.org/aos/agrovoc/c_671;Aspartic acid;Amino acids| Amino acids| Amino acids| Amino acids;E;1;0;0;0
acids| organic materials| organic acids| amino acids;alanine;http://linkeddata.ge.imati.cnr.it/resource/ThIST/alanina;http://aims.fao.org/aos/agrovoc/c_239;Alanine;Amino acids| Amino acids| Amino acids| Amino acids;E;1;0;0;0
Africa;Central Africa;http://linkeddata.ge.imati.cnr.it/resource/ThIST/africacentrale;http://aims.fao.org/aos/agrovoc/c_1432;Central Africa;Africa South of Sahara;E;1;0;0;0
Africa;Southern Africa;http://linkeddata.ge.imati.cnr.it/resource/ThIST/africameridionale;http://aims.fao.org/aos/agrovoc/c_7265;Southern Africa;Africa South of Sahara;E;1;0;0;0
Africa;West Africa;http://linkeddata.ge.imati.cnr.it/resource/ThIST/africaoccidentale;http://aims.fao.org/aos/agrovoc/c_8355;West Africa;Africa South of Sahara;E;1;0;0;0
Africa;East Africa;http://linkeddata.ge.imati.cnr.it/resource/ThIST/africaorientale;http://aims.fao.org/aos/agrovoc/c_2442;East Africa;Africa South of Sahara;E;1;0;0;0
Africa;Nile River;http://linkeddata.ge.imati.cnr.it/resource/ThIST/fiumenilo;http://aims.fao.org/aos/agrovoc/c_29739;Nile River;African inland waters;E;1;0;0;0
Africa;Nile River;http://linkeddata.ge.imati.cnr.it/resource/ThIST/fiumenilo;http://aims.fao.org/aos/agrovoc/c_29739;Nile River;Rivers;E;1;0;0;0
Africa;Madagascar;http://linkeddata.ge.imati.cnr.it/resource/ThIST/madagascar;http://aims.fao.org/aos/agrovoc/c_4510;Madagascar;East Africa;E;1;0;0;0
Africa;Niger;http://linkeddata.ge.imati.cnr.it/resource/ThIST/niger;http://aims.fao.org/aos/agrovoc/c_5181;Niger;West Africa;E;1;0;0;0
Africa;Sahara;http://linkeddata.ge.imati.cnr.it/resource/ThIST/sahara;http://aims.fao.org/aos/agrovoc/c_29755;Sahara Desert;Deserts;E;1;0;0;0
Africa;Sahel;http://linkeddata.ge.imati.cnr.it/resource/ThIST/sahel;http://aims.fao.org/aos/agrovoc/c_6734;Sahel;Africa South of Sahara;E;1;0;0;0
Africa| Central Africa;Burundi;http://linkeddata.ge.imati.cnr.it/resource/ThIST/burundi;http://aims.fao.org/aos/agrovoc/c_1159;Burundi;Central Africa| Central Africa;E;1;0;0;0
Africa| Central Africa;Gabon;http://linkeddata.ge.imati.cnr.it/resource/ThIST/gabon;http://aims.fao.org/aos/agrovoc/c_3161;Gabon;Central Africa| Central Africa;E;1;0;0;0
