Broaders Of THIST Concept;THIST Concept's PrefLabel;THIST Concept  URI;CGIics Concept URI;CGIics Concept's PrefLabel;Broaders Of  CGIics Concept;"E =ExactMAtch ; C= CloseMatch ; B= broaderMatch ; N= NarrowMAtch   NA= in corrispondenza di una della righe dei mapping che secondo voi non sono da accettare;  (definizioni  relazioni di mapping sono rintracciabili su http://www.w3.org/TR/skos-reference/#mapping)"
Paleozoic| Silurian| Lower Silurian| Wenlockian;Homerian;http://linkeddata.ge.imati.cnr.it/resource/ThIST/homeriano;http://resource.geosciml.org/classifier/ics/ischart/Homerian;Homerian;Wenlock| Wenlock| Wenlock| Wenlock;E
Carboniferous| Upper Carboniferous| Paleozoic;Kasimovian;http://linkeddata.ge.imati.cnr.it/resource/ThIST/kasimoviano;http://resource.geosciml.org/classifier/ics/ischart/Kasimovian;Kasimovian;Late/Upper Pennsylvanian| Late/Upper Pennsylvanian| Late/Upper Pennsylvanian;E
Jurassic| Upper Jurassic| Malm| Mesozoic;Kimmeridgian;http://linkeddata.ge.imati.cnr.it/resource/ThIST/kimmeridgiano;http://resource.geosciml.org/classifier/ics/ischart/Kimmeridgian;Kimmeridgian;Late/Upper Jurassic| Late/Upper Jurassic| Late/Upper Jurassic| Late/Upper Jurassic;E
Paleozoic| Permian| Lower Permian;Kungurian;http://linkeddata.ge.imati.cnr.it/resource/ThIST/kunguriano;http://resource.geosciml.org/classifier/ics/ischart/Kungurian;Kungurian;Cisuralian| Cisuralian| Cisuralian;E
Mesozoic| Triassic| Middle Triassic;Ladinian;http://linkeddata.ge.imati.cnr.it/resource/ThIST/ladinico;http://resource.geosciml.org/classifier/ics/ischart/Ladinian;Ladinian;Middle Triassic| Middle Triassic| Middle Triassic;E
Cenozoic| Miocene| middle Miocene| Neogene| Tertiary;Langhian;http://linkeddata.ge.imati.cnr.it/resource/ThIST/langhiano;http://resource.geosciml.org/classifier/ics/ischart/Langhian;Langhian;Miocene| Miocene| Miocene| Miocene| Miocene;E
Devonian| Lower Devonian| Paleozoic;Lochkovian;http://linkeddata.ge.imati.cnr.it/resource/ThIST/lochkoviano;http://resource.geosciml.org/classifier/ics/ischart/Lochkovian;Lochkovian;Early/Lower Devonian| Early/Lower Devonian| Early/Lower Devonian;E
Ludlovian| Paleozoic| Silurian| Upper Silurian;Ludfordian;http://linkeddata.ge.imati.cnr.it/resource/ThIST/ludfordiano;http://resource.geosciml.org/classifier/ics/ischart/Ludfordian;Ludfordian;Ludlow| Ludlow| Ludlow| Ludlow;E
Cenozoic| Eocene| middle Eocene| Paleogene| Tertiary;Lutetian;http://linkeddata.ge.imati.cnr.it/resource/ThIST/luteziano;http://resource.geosciml.org/classifier/ics/ischart/Lutetian;Lutetian;Eocene| Eocene| Eocene| Eocene| Eocene;E
Precambrian| upper Precambrian| Proterozoic;Mesoproterozoic;http://linkeddata.ge.imati.cnr.it/resource/ThIST/mesoproterozoico;http://resource.geosciml.org/classifier/ics/ischart/Mesoproterozoic;Mesoproterozoic;Proterozoic| Proterozoic| Proterozoic;E
Phanerozoic;Mesozoic;http://linkeddata.ge.imati.cnr.it/resource/ThIST/mesozoico;http://resource.geosciml.org/classifier/ics/ischart/Mesozoic;Mesozoic;Phanerozoic;E
Cenozoic| Miocene| upper Miocene| Neogene| Tertiary;Messinian;http://linkeddata.ge.imati.cnr.it/resource/ThIST/messiniano;http://resource.geosciml.org/classifier/ics/ischart/Messinian;Messinian;Miocene| Miocene| Miocene| Miocene| Miocene;E
Cenozoic| Neogene| Tertiary;Miocene;http://linkeddata.ge.imati.cnr.it/resource/ThIST/miocene;http://resource.geosciml.org/classifier/ics/ischart/Miocene;Miocene;Neogene| Neogene| Neogene;E
Carboniferous| Paleozoic;Mississippian;http://linkeddata.ge.imati.cnr.it/resource/ThIST/mississippiano;http://resource.geosciml.org/classifier/ics/ischart/Mississippian;Mississippian;Carboniferous| Carboniferous;E
Carboniferous| Upper Carboniferous| Paleozoic;Moscovian;http://linkeddata.ge.imati.cnr.it/resource/ThIST/moscoviano;http://resource.geosciml.org/classifier/ics/ischart/Moscovian;Moscovian;Middle Pennsylvanian| Middle Pennsylvanian| Middle Pennsylvanian;E
Cenozoic| Tertiary;Neogene;http://linkeddata.ge.imati.cnr.it/resource/ThIST/neogene;http://resource.geosciml.org/classifier/ics/ischart/Neogene;Neogene;Cenozoic| Cenozoic;E
Proterozoic;Neoproterozoic;http://linkeddata.ge.imati.cnr.it/resource/ThIST/neoproterozoico;http://resource.geosciml.org/classifier/ics/ischart/Neoproterozoic;Neoproterozoic;Proterozoic;E
Mesozoic| Triassic| Upper Triassic;Norian;http://linkeddata.ge.imati.cnr.it/resource/ThIST/norico;http://resource.geosciml.org/classifier/ics/ischart/Norian;Norian;Late/Upper Triassic| Late/Upper Triassic| Late/Upper Triassic;E
Cenozoic| Paleogene| Tertiary;Oligocene;http://linkeddata.ge.imati.cnr.it/resource/ThIST/oligocene;http://resource.geosciml.org/classifier/ics/ischart/Oligocene;Oligocene;Paleogene| Paleogene| Paleogene;E
Cenozoic| Quaternary;Holocene;http://linkeddata.ge.imati.cnr.it/resource/ThIST/olocene;http://resource.geosciml.org/classifier/ics/ischart/Holocene;Holocene;Quaternary| Quaternary;E
Paleozoic;Ordovician;http://linkeddata.ge.imati.cnr.it/resource/ThIST/ordoviciano;http://resource.geosciml.org/classifier/ics/ischart/Ordovician;Ordovician;Paleozoic;E
Jurassic| Upper Jurassic| Malm| Mesozoic;Oxfordian;http://linkeddata.ge.imati.cnr.it/resource/ThIST/oxfordiano;http://resource.geosciml.org/classifier/ics/ischart/Oxfordian;Oxfordian;Late/Upper Jurassic| Late/Upper Jurassic| Late/Upper Jurassic| Late/Upper Jurassic;E
Cenozoic| Paleogene| Tertiary;Paleocene;http://linkeddata.ge.imati.cnr.it/resource/ThIST/paleocene;http://resource.geosciml.org/classifier/ics/ischart/Paleocene;Paleocene;Paleogene| Paleogene| Paleogene;E
Cenozoic| Tertiary;Paleogene;http://linkeddata.ge.imati.cnr.it/resource/ThIST/paleogene;http://resource.geosciml.org/classifier/ics/ischart/Paleogene;Paleogene;Cenozoic| Cenozoic;E
Precambrian| upper Precambrian| Proterozoic;Paleoproterozoic;http://linkeddata.ge.imati.cnr.it/resource/ThIST/paleoproterozoico;http://resource.geosciml.org/classifier/ics/ischart/Paleoproterozoic;Paleoproterozoic;Proterozoic| Proterozoic| Proterozoic;E
Phanerozoic;Paleozoic;http://linkeddata.ge.imati.cnr.it/resource/ThIST/paleozoico;http://resource.geosciml.org/classifier/ics/ischart/Paleozoic;Paleozoic;Phanerozoic;E
Carboniferous| Paleozoic;Pennsylvanian;http://linkeddata.ge.imati.cnr.it/resource/ThIST/pennsilvaniano;http://resource.geosciml.org/classifier/ics/ischart/Pennsylvanian;Pennsylvanian;Carboniferous| Carboniferous;E
Paleozoic;Permian;http://linkeddata.ge.imati.cnr.it/resource/ThIST/permiano;http://resource.geosciml.org/classifier/ics/ischart/Permian;Permian;Paleozoic;E
Cenozoic| Quaternary;Pleistocene;http://linkeddata.ge.imati.cnr.it/resource/ThIST/pleistocene;http://resource.geosciml.org/classifier/ics/ischart/Pleistocene;Pleistocene;Quaternary| Quaternary;E
Jurassic| Lower Jurassic| Liassic| middle Liassic| Mesozoic;Pliensbachian;http://linkeddata.ge.imati.cnr.it/resource/ThIST/pliensbachiano;http://resource.geosciml.org/classifier/ics/ischart/Pliensbachian;Pliensbachian;Early/Lower Jurassic| Early/Lower Jurassic| Early/Lower Jurassic| Early/Lower Jurassic| Early/Lower Jurassic;E
Cenozoic| Neogene| Tertiary;Pliocene;http://linkeddata.ge.imati.cnr.it/resource/ThIST/pliocene;http://resource.geosciml.org/classifier/ics/ischart/Pliocene;Pliocene;Neogene| Neogene| Neogene;E
Devonian| Lower Devonian| Paleozoic;Pragian;http://linkeddata.ge.imati.cnr.it/resource/ThIST/praghiano;http://resource.geosciml.org/classifier/ics/ischart/Pragian;Pragian;Early/Lower Devonian| Early/Lower Devonian| Early/Lower Devonian;E
;Precambrian;http://linkeddata.ge.imati.cnr.it/resource/ThIST/precambriano;http://resource.geosciml.org/classifier/ics/ischart/Precambrian;Precambrian;;E
Cenozoic| Eocene| upper Eocene| Paleogene| Tertiary;Priabonian;http://linkeddata.ge.imati.cnr.it/resource/ThIST/priaboniano;http://resource.geosciml.org/classifier/ics/ischart/Priabonian;Priabonian;Eocene| Eocene| Eocene| Eocene| Eocene;E
Precambrian| upper Precambrian;Proterozoic;http://linkeddata.ge.imati.cnr.it/resource/ThIST/proterozoico;http://resource.geosciml.org/classifier/ics/ischart/Proterozoic;Proterozoic;Precambrian| Precambrian;E
Cenozoic;Quaternary;http://linkeddata.ge.imati.cnr.it/resource/ThIST/quaternario;http://resource.geosciml.org/classifier/ics/ischart/Quaternary;Quaternary;Cenozoic;E
Mesozoic| Triassic| Upper Triassic;Rhaetian;http://linkeddata.ge.imati.cnr.it/resource/ThIST/retico;http://resource.geosciml.org/classifier/ics/ischart/Rhaetian;Rhaetian;Late/Upper Triassic| Late/Upper Triassic| Late/Upper Triassic;E
Llandoverian| Paleozoic| Silurian| Lower Silurian;Rhuddanian;http://linkeddata.ge.imati.cnr.it/resource/ThIST/rhuddaniano;http://resource.geosciml.org/classifier/ics/ischart/Rhuddanian;Rhuddanian;Llandovery| Llandovery| Llandovery| Llandovery;E
Cenozoic| Oligocene| lower Oligocene| Paleogene| Tertiary;Rupelian;http://linkeddata.ge.imati.cnr.it/resource/ThIST/rupeliano;http://resource.geosciml.org/classifier/ics/ischart/Rupelian;Rupelian;Oligocene| Oligocene| Oligocene| Oligocene| Oligocene;E
Paleozoic| Permian| Lower Permian;Sakmarian;http://linkeddata.ge.imati.cnr.it/resource/ThIST/sakmariano;http://resource.geosciml.org/classifier/ics/ischart/Sakmarian;Sakmarian;Cisuralian| Cisuralian| Cisuralian;E
Cretaceous| Upper Cretaceous| Mesozoic| Senonian;Santonian;http://linkeddata.ge.imati.cnr.it/resource/ThIST/santoniano;http://resource.geosciml.org/classifier/ics/ischart/Santonian;Santonian;Late/Upper Cretaceous| Late/Upper Cretaceous| Late/Upper Cretaceous| Late/Upper Cretaceous;E
Cenozoic| Paleocene| Paleogene;Selandian;http://linkeddata.ge.imati.cnr.it/resource/ThIST/selandiano;http://resource.geosciml.org/classifier/ics/ischart/Selandian;Selandian;Paleocene| Paleocene| Paleocene;E
Carboniferous| Mississippian| Upper Mississippian| Paleozoic;Serpukhovian;http://linkeddata.ge.imati.cnr.it/resource/ThIST/serpukhoviano;http://resource.geosciml.org/classifier/ics/ischart/Serpukhovian;Serpukhovian;Upper Mississippian| Upper Mississippian| Upper Mississippian| Upper Mississippian;E
Cenozoic| Miocene| middle Miocene| Neogene| Tertiary;Serravallian;http://linkeddata.ge.imati.cnr.it/resource/ThIST/serravalliano;http://resource.geosciml.org/classifier/ics/ischart/Serravallian;Serravallian;Miocene| Miocene| Miocene| Miocene| Miocene;E
Paleozoic| Silurian| Lower Silurian| Wenlockian;Sheinwoodian;http://linkeddata.ge.imati.cnr.it/resource/ThIST/sheinwoodiano;http://resource.geosciml.org/classifier/ics/ischart/Sheinwoodian;Sheinwoodian;Wenlock| Wenlock| Wenlock| Wenlock;E
Paleozoic;Silurian;http://linkeddata.ge.imati.cnr.it/resource/ThIST/siluriano;http://resource.geosciml.org/classifier/ics/ischart/Silurian;Silurian;Paleozoic;E
