;s;o;KindOfLinkRevised;KindOfLink;sBT;sNT;sRT;sPrefLabel;sAltLabels;oPrefLabel;oAltLabels;oBT;oNT;oRT;RT_similaritySInW;RT_wmdistance;RT_Mwmdistance;RT_SMwmdistance;RT_nhammingSim;RT_MnhammingSim;RT_SMnhammingSim;BT_similaritySInW;BT_wmdistance;BT_Mwmdistance;BT_SMwmdistance;BT_nhammingSim;BT_MnhammingSim;BT_SMnhammingSim;PrefLabel_similaritySInW;PrefLabel_wmdistance;PrefLabel_Mwmdistance;PrefLabel_SMwmdistance;PrefLabel_nhammingSim;PrefLabel_MnhammingSim;PrefLabel_SMnhammingSim
1231;http://linkeddata.ge.imati.cnr.it/resource/ThIST/geomorfologia;http://aims.fao.org/aos/agrovoc/c_3233;E;E;;geomorphologic effects;surficial geology maps| neotectonics| rockslides| wadis| taiga environment| stalagmites| meteor craters| wetlands| marine erosion| pediplains| reefs| soil erosion| semi-arid environment| bogs| marshes| periglacial environment| slumping| boulder trains| bedforms| degradation| relief exposure| deltas| lava tubes| glacial lakes| beaches| mud volcanoes| salt marshes| liquefaction| tributaries| craters| soils| sea-level changes| thermokarst| arid environment| underground cavities| braided streams| tundra| paleorelief| astroblemes| stream capture| mass movements| glacial features| littoral erosion| ponds| boulders| alluvial plains| bays| drainage patterns| eskers| hills| cratering| aerial photography| impact features| karren| bars| terrains| buried channels| hydrology| buried valleys| erosion| avalanches| exhumation| solution features| limnology| marine terraces| karst hydrology| applied geology| playas| lava fields| corrosion| landscapes| cuestas| lacustrine features| wave-cut platforms| caves| potholes| volcanoes| swallow hole| tidal channels| geodesy| geomorfologic evolution| shore features| cartography| physiographic maps| continental dunes| surficial geology| hummocks| shatter cones| debris flows| coastal dunes| maars| beach ridges| stalactites| landform evolution| relief inversion| mudslides| patterned ground| glacis| longshore bars| cauldrons| inlets| polygons| barchans| streams| calderas| floodplains| surface features| stream order| river terraces| plains| landform description| waterfalls| savannas| maps| mountains| slopes| environmental geology| coastal plains| permafrost| levees| poljes| volcanic necks| colluvium| kames| tors| disarray| lagoons| depressions| karst| sinkholes| inselbergs| debris| lava channels| exfoliation| gullies| watersheds| uplands| quantitative geomorphology| berms| denudation| weathering| pseudokarst| dolines| tidal inlets| furrows| wind action| estuaries| glaciotectonics| cascades| divides| bend| eolian features| solifluction| Rijeka Croatia| rivers| impact craters| sedimentology| creep| karst filling| morphogenesis| landforms| tidal flats| channel geometry| arroyos| desertification| steppes| swamps| capes| pediments| point bars| spits| glacial environment| solution cavities| extinct lakes| drumlins| physiographic provinces| deposition| coastlines| benches| geomorphologic maps| forelands| cinder cones| landslides| shorelines| yardangs| lakes| dry valleys| mesas| erosion features| lava lakes| cryptoexplosion features| bluffs| rockfalls| loop| debris cones| impacts| frost action| sand boils| meanders| valleys| paleokarst| talus slopes| cliffs| natural curiosities| earthflows| dunes| ice-marginal features| mud banks| rapids| water erosion| peneplains| barrier beaches| topography| wind erosion| muskegs| karstification| slope stability| klippen| erosion cycle| speleology| erosion surfaces| deserts| loess| fjords| digital terrain models| shoals| badlands| planation| speleothems| congelifraction| collapse| ecology| domes| underground streams| aggradation| environment| tectonic controls| scarps| glacial geology| morphometry| glacial erosion| etching| morphostructures| waterways| chimneys| volcanic features| highlands| alluvial fans| paleogeography| geography| riverbed| isostasy| canyons| caverns| meromictic lakes| terrain classification| fluvial features| mangrove swamps| channels;geomorphology;;Geomorphology;;Geology;Topography;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.220446049250313e-16;0.2661222146;0;0;0.9230769231;1;1
1232;http://linkeddata.ge.imati.cnr.it/resource/ThIST/geotessile;http://aims.fao.org/aos/agrovoc/c_33499;E;E;;;erosion control| geomembranes| reservoirs| waste disposal| embankments| applied geology| foundations| stabilization| materials| rock mechanics| seepage| drainage| filters| highways| soil mechanics| slope stability| land preservation| dams| waterways;geotextiles;;Geotextiles;Landscape fabrics;Processed products;;Textiles;1.8555566747;1.5726263131;3.2159079459;47.9207517817;0.0040160643;0.25;1.9066239316;0;0;0;0;0;0;0;-1.1102230246251563e-16;0.3145080718;0;0;0.9090909091;1;1
1233;http://linkeddata.ge.imati.cnr.it/resource/ThIST/geryon;http://aims.fao.org/aos/agrovoc/c_32149;E;E;;;;;;Geryon;;Geryonidae;Geryon longipes| Geryon quinquedens;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1234;http://linkeddata.ge.imati.cnr.it/resource/ThIST/gestione;http://aims.fao.org/aos/agrovoc/c_16086;E;E;;;regulations| national policy| planning| corporate policy| water management| land use| shorelines| soil management| soil treatment| basin management;management;;management;;activities;Livestock management| Decision making| data management| disease management| risk management| Knowledge management| pest management| forest management| quality assurance| water management| information management| Business management| Fishery management| decentralization| integrated management| Grassland management| Watershed management| co-management| coordination| environmental management| logistics| Crop management| Farm management| Management by objectives| Resource allocation| Rationalization| project management| resource management| community management| human resources management;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1.1102230246251563e-16;0;0;0;1;1;1
1235;http://linkeddata.ge.imati.cnr.it/resource/ThIST/gestionedellambiente;http://aims.fao.org/aos/agrovoc/c_37875;E;E;;;;;;environmental management;;management;Environmental monitoring| environmental control;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1236;http://linkeddata.ge.imati.cnr.it/resource/ThIST/gestionedelsuolo;http://aims.fao.org/aos/agrovoc/c_7176;E;E;;;fertilizers| sewage sludge| salinity| desalinization| soils| tillage| fertilization| management| irrigation| aeration| remediation| reclamation| bioremediation| soil management| soil treatment;soil management;;Soil management;;natural resources management;Site preparation| Liming| drainage| Soil conservation| soil treatment| Salinity control;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.0091180741;0.2755020382;2.7174544233;5.4349088466;0.9333333333;1;2
1237;http://linkeddata.ge.imati.cnr.it/resource/ThIST/gestionedelsuolo;http://aims.fao.org/aos/agrovoc/c_7176;E;E;;;fertilizers| sewage sludge| salinity| desalinization| soils| tillage| fertilization| management| irrigation| aeration| remediation| reclamation| bioremediation| soil management| soil treatment;soil treatment;;Soil management;;natural resources management;Site preparation| Liming| drainage| Soil conservation| soil treatment| Salinity control;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.2254864257;0.9452981784;2.7174544233;5.4122086339;0.3333333333;1;1.1
1238;http://linkeddata.ge.imati.cnr.it/resource/ThIST/gestionedelterritorio;http://aims.fao.org/aos/agrovoc/c_24866;E;E;;;regulations| environmental management| decision-making| conservation| wilderness areas| land use| legislation| natural resources| agriculture| basin management;land management;;land management;;natural resources management;Land conservation| Earthmoving| sustainable land management| land use| integrated land management| Land clearing| Dryland management;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.1073627943;0;2.3458818094;4.6917636188;1;1;2
1239;http://linkeddata.ge.imati.cnr.it/resource/ThIST/ghiaccio;http://aims.fao.org/aos/agrovoc/c_3782;E;E;;;periglacial features| oxides| glacial features| thawing| hydrology| sea ice| snow| ice lenses| ice rafting| frozen ground| meltwater| permafrost| ice fields| glaciers| rock glaciers| ground ice| water| hydrosphere| erosional channel;ice;;ice;;substances;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
1240;http://linkeddata.ge.imati.cnr.it/resource/ThIST/giardini;http://aims.fao.org/aos/agrovoc/c_3196;E;E;;;;;;gardens;;location;Public gardens| Domestic gardens;Market gardens;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
